,cityFrom,lat_ori,lon_ori,cityTo,lat,lon,station_orig,station_dest,Tps_trajet_sec,Tps_total_sec,mode,Distance,Tps_transit_aller,Tps_transit_retour,Tps_total_transit,Tps_total_avec_transit,lat_dest_centre,lon_dest_centre,lat_prop_tps,lon_prop_tps
451,Marseille,43.436667,5.215,Milan,45.63,8.723056,Marseille - Saint-Charles,Agen Train Station,9278,18090,Train,369.8,884,253,1137,10415,2.1933330000000026,3.508056,92.0,147.1833227801289
452,Marseille,43.436667,5.215,Istanbul,40.898611,29.309167,Marseille - Saint-Charles,Arcachon Train Station,25088,26880,Train,1998.6,884,388,1272,26360,-2.5380559999999974,24.094167,-46.02429841370325,436.9159435558562
454,Marseille,43.436667,5.215,Annaba,36.822222,7.809167,Marseille - Saint-Charles,Châtellerault Train Station,28748,29160,Train,767.7,884,139,1023,29771,-6.6144450000000035,2.5941670000000006,-461.9270469779249,181.16650779885276
455,Marseille,43.436667,5.215,Ibiza,38.872778,1.373056,Marseille - Saint-Charles,Tours Train Station,22868,23280,Train,600.7,884,192,1076,23944,-4.563889000000003,-3.841944,-305.2944241955748,-257.0010097247419
456,Marseille,43.436667,5.215,Eindhoven,51.45,5.374444,Marseille - Saint-Charles,Laval Train Station,-592,19740,Train,891.1,884,-1,883,291,8.013333000000003,0.15944400000000059,4.0,0.09648299508469506
458,Marseille,43.436667,5.215,Naples,40.884444,14.290833,Marseille - Saint-Charles,Alençon Train Station,1748,22080,Train,799.6,884,105,989,2737,-2.552222999999998,9.075833,-12.348918830056336,43.91337474513269
459,Marseille,43.436667,5.215,Oujda,,,Marseille - Saint-Charles,Bayeux Train Station,21998,22410,Train,,884,435,1319,23317,,,,
460,Marseille,43.436667,5.215,Amsterdam,52.308056,4.764167,Marseille - Saint-Charles,Rouen Rive Droite,17048,19290,Train,987.0,884,234,1118,18166,8.871389,-0.45083300000000026,302.0,-15.36639753951016
461,Marseille,43.436667,5.215,Caen,49.173333,-0.45,Marseille - Saint-Charles,Dreux Train Station,21488,21900,Train,771.7,884,169,1053,22541,5.736666,-5.665,267.0,-263.97326678063
462,Marseille,43.436667,5.215,Tétouan,35.59,-5.328056,Marseille - Saint-Charles,Douai Train Station,16388,20250,Train,1254.8,884,368,1252,17640,-7.8466669999999965,-10.543056,-175.53083841684597,-235.8493688027999
463,Marseille,43.436667,5.215,Nantes,47.156944,-1.607778,Marseille - Saint-Charles,Abbeville Train Station,17918,20160,Train,674.8,884,307,1191,19109,3.720277000000003,-6.822778,152.0,-279.6164391417897
464,Marseille,43.436667,5.215,Ajaccio,41.923889,8.8025,Marseille - Saint-Charles,Saverne Train Station,21998,24930,Train,338.0,884,128,1012,23010,-1.5127779999999973,3.5875000000000004,-149.00822966772475,353.36779351164785
465,Marseille,43.302666,5.380407,Nîmes,43.832313,4.365872,Marseille - Saint-Charles,Belfort-Ville,578,20910,Train,100.7,884,0,884,1462,0.5296469999999971,-1.0145349999999995,11.0,-21.600284329138557
466,Marseille,43.302666,5.380407,Avignon,43.92194,4.786136,Marseille - Saint-Charles,Bar-le-Duc Train Station,27608,31470,Train,83.8,884,260,1144,28752,0.6192739999999972,-0.594271,345.0,-331.79382655163266
467,Marseille,43.302666,5.380407,Toulon,43.128353,5.929404,Marseille - Saint-Charles,Sedan Train Station,24728,28590,Train,48.5,884,270,1154,25882,-0.17431300000000505,0.548997,-130.54176280012214,411.13993879961083
468,Marseille,43.302666,5.380407,Bourg-en-Bresse,46.200111,5.215011,Marseille - Saint-Charles,Narbonne Train Station,7448,9240,Train,322.4,884,394,1278,8726,2.8974449999999976,-0.16539600000000032,145.0,-8.288335695454006
469,Marseille,43.302666,5.380407,Chalon-sur-Saône,46.781622,4.843479,Marseille - Saint-Charles,Alès Train Station,6938,8730,Train,389.1,884,56,940,7878,3.4789559999999966,-0.5369279999999996,129.0,-20.027194950245292
