,cityFrom,lat_ori,lon_ori,cityTo,lat,lon,station_orig,station_dest,Tps_trajet_sec,Tps_total_sec,mode,Distance,Tps_transit_aller,Tps_transit_retour,Tps_total_transit,Tps_total_avec_transit,lat_dest_centre,lon_dest_centre,lat_prop_tps,lon_prop_tps
425,Bordeaux,44.825873,-0.556697,Chaumont,48.10976,5.1346,Bordeaux,Chaumont,25230,25230,Voiture,568.3,0,0,0,25230,3.283887,5.691297,210.0,364.2186720701718
426,Bordeaux,44.825873,-0.556697,Gap,44.563714,6.085669,Bordeaux,Gap,26944,26944,Voiture,525.7,0,0,0,26944,-0.262159000000004,6.642366,-17.709846710071595,448.71731907807714
428,Bordeaux,44.825873,-0.556697,Marseille,43.302666,5.380407,Bordeaux,Marseille,22228,22228,Voiture,503.6,0,0,0,22228,-1.5232069999999993,5.937104,-92.06427683240258,358.8449805172671
429,Bordeaux,44.825873,-0.556697,Grenoble,45.191491,5.714548,Bordeaux,Grenoble,23198,23198,Voiture,494.6,0,0,0,23198,0.3656179999999978,6.2712449999999995,22.0,385.97792568564967
432,Bordeaux,44.825873,-0.556697,Roanne,46.039383,4.063207,Bordeaux,Roanne,17594,17594,Voiture,384.8,0,0,0,17594,1.2135099999999994,4.619904,74.0,283.6125189299976
434,Bordeaux,44.825873,-0.556697,Mâcon,46.302572,4.824887,Bordeaux,Mâcon,20680,20680,Voiture,449.9,0,0,0,20680,1.4766989999999964,5.381584,91.0,332.38051444693286
436,Bordeaux,44.825873,-0.556697,Lyon,45.760596,4.859409,Bordeaux,Lyon,19306,19306,Voiture,436.1,0,0,0,19306,0.9347229999999982,5.416106,54.0,317.0792763026288
437,Bordeaux,44.825873,-0.556697,Moulins,46.561394,3.338782,Bordeaux,Moulins,16257,16257,Voiture,358.8,0,0,0,16257,1.7355209999999985,3.895479,110.0,247.4981741451876
438,Bordeaux,44.825873,-0.556697,Toulouse,43.611206,1.453616,Bordeaux,Toulouse,8892,8892,Voiture,209.5,0,0,0,8892,-1.2146669999999986,2.010313,-76.64129403896513,126.84380965594217
439,Bordeaux,44.825873,-0.556697,Périgueux,45.187408,0.707879,Bordeaux,Périgueux,5525,5525,Voiture,107.2,0,0,0,5525,0.3615349999999964,1.264576,25.0,88.5361202776403
441,Bordeaux,44.825873,-0.556697,Limoges,45.836207,1.267419,Bordeaux,Limoges,9845,9845,Voiture,181.5,0,0,0,9845,1.0103340000000003,1.824116,79.0,143.536868371027
442,Bordeaux,44.825873,-0.556697,Agen,44.207967,0.620867,Bordeaux,Agen,5529,5529,Voiture,115.9,0,0,0,5529,-0.617906000000005,1.1775639999999998,-42.81732605186973,81.598401269681
443,Bordeaux,44.825873,-0.556697,Arcachon,44.658967,-1.165323,Bordeaux,Arcachon,4302,4302,Voiture,51.5,0,0,0,4302,-0.16690600000000444,-0.6086260000000001,-18.96247842281631,-69.14704919274737
446,Bordeaux,44.825873,-0.556697,Bourges,47.094129,2.394236,Bordeaux,Bourges,16693,16693,Voiture,340.0,0,0,0,16693,2.268256000000001,2.950933,169.0,220.58232925609894
447,Bordeaux,44.825873,-0.556697,Châtellerault,46.818594,0.549279,Bordeaux,Châtellerault,10106,10106,Voiture,237.6,0,0,0,10106,1.992720999999996,1.105976,147.0,81.73682448172737
449,Bordeaux,44.825873,-0.556697,Tours,47.389866,0.692831,Bordeaux,Tours,12329,12329,Voiture,300.9,0,0,0,12329,2.5639929999999964,1.249528,184.0,90.01889222431382
450,Bordeaux,44.825873,-0.556697,Morlaix,48.57797,-3.832514,Bordeaux,Morlaix,22800,22800,Voiture,486.2,0,0,0,22800,3.752096999999999,-3.275817,286.0,-249.91755928419116
451,Bordeaux,44.825873,-0.556697,Alençon,48.433884,0.0985309999999999,Bordeaux,Alençon,17109,17109,Voiture,404.3,0,0,0,17109,3.6080109999999976,0.6552279999999999,280.0,50.95092087474231
