,codes,name,links,coord,label,timezone,id,administrative_regions,insee,uic,lat,lon,city
10,"[{'type': 'source', 'value': '88720090'}, {'type': 'uic', 'value': '88720090'}]",Charleroi Sud,[],"{'lat': '50.404393', 'lon': '4.438504'}",Charleroi Sud (Charleroi),Europe/Paris,stop_area:SNCF:88720090,"[{'insee': '', 'name': 'Charleroi', 'level': 8, 'coord': {'lat': '50.4120332', 'lon': '4.4436244'}, 'label': 'Charleroi', 'id': 'admin:osm:relation:2113725', 'zip_code': ''}]",,88720090,50.404393,4.438504,Charleroi
3,"[{'type': 'source', 'value': '85162750'}, {'type': 'uic', 'value': '85162750'}]",Chêne-Bourg,[],"{'lat': '46.196607', 'lon': '6.197253'}",Chêne-Bourg (Chêne-Bourg),Europe/Paris,stop_area:SNCF:85162750,"[{'insee': '', 'name': 'Chêne-Bourg', 'level': 8, 'coord': {'lat': '46.19737801091534', 'lon': '6.197016014304897'}, 'label': 'Chêne-Bourg', 'id': 'admin:osm:relation:1685466', 'zip_code': ''}]",,85162750,46.196607,6.197253,Chêne-Bourg
15,"[{'type': 'source', 'value': '80154583'}, {'type': 'uic', 'value': '80154583'}]",Cologne,[],"{'lat': '50.9428', 'lon': '6.9591'}",Cologne (Köln),Europe/Paris,stop_area:SNCF:80154583,"[{'insee': '', 'name': 'Köln', 'level': 8, 'coord': {'lat': '50.938361', 'lon': '6.959974'}, 'label': 'Köln', 'id': 'admin:osm:relation:62578', 'zip_code': ''}]",,80154583,50.9428,6.9591,Köln
2,"[{'type': 'source', 'value': '85010231'}, {'type': 'uic', 'value': '85010231'}]",Coppet,[],"{'lat': '46.317378', 'lon': '6.187829'}",Coppet (Coppet),Europe/Paris,stop_area:SNCF:85010231,"[{'insee': '', 'name': 'Coppet', 'level': 8, 'coord': {'lat': '46.32133651924627', 'lon': '6.189059089303142'}, 'label': 'Coppet', 'id': 'admin:osm:relation:1684917', 'zip_code': ''}]",,85010231,46.317378,6.187829,Coppet
3,"[{'type': 'source', 'value': '85001412'}, {'type': 'uic', 'value': '85001412'}]",Courchavon,[],"{'lat': '47.43977', 'lon': '7.05765'}",Courchavon (Courchavon),Europe/Paris,stop_area:SNCF:85001412,"[{'insee': '', 'name': 'Courchavon', 'level': 8, 'coord': {'lat': '47.43822506118142', 'lon': '7.046322504437906'}, 'label': 'Courchavon', 'id': 'admin:osm:relation:1685588', 'zip_code': ''}]",,85001412,47.43977,7.05765,Courchavon
5,"[{'type': 'source', 'value': '85001214'}, {'type': 'uic', 'value': '85001214'}]",Courfaivre,[],"{'lat': '47.33508', 'lon': '7.29117'}",Courfaivre (Haute-Sorne),Europe/Paris,stop_area:SNCF:85001214,"[{'insee': '', 'name': 'Haute-Sorne', 'level': 8, 'coord': {'lat': '47.3370866', 'lon': '7.2440935'}, 'label': 'Haute-Sorne (2863)', 'id': 'admin:osm:relation:2759181', 'zip_code': '2863'}]",,85001214,47.33508,7.29117,Haute-Sorne
6,"[{'type': 'source', 'value': '85001255'}, {'type': 'uic', 'value': '85001255'}]",Courgenay,[],"{'lat': '47.40522', 'lon': '7.12421'}",Courgenay (Courgenay),Europe/Paris,stop_area:SNCF:85001255,"[{'insee': '', 'name': 'Courgenay', 'level': 8, 'coord': {'lat': '47.40454339999999', 'lon': '7.1242961'}, 'label': 'Courgenay', 'id': 'admin:osm:relation:1685590', 'zip_code': ''}]",,85001255,47.40522,7.12421,Courgenay
12,"[{'type': 'source', 'value': '85001271'}, {'type': 'uic', 'value': '85001271'}]",Courtemaîche,[],"{'lat': '47.45587', 'lon': '7.05539'}",Courtemaîche (Basse-Allaine),Europe/Paris,stop_area:SNCF:85001271,"[{'insee': '', 'name': 'Basse-Allaine', 'level': 8, 'coord': {'lat': '47.47052428792801', 'lon': '7.042457430092767'}, 'label': 'Basse-Allaine', 'id': 'admin:osm:relation:1685570', 'zip_code': ''}]",,85001271,47.45587,7.05539,Basse-Allaine
13,"[{'type': 'source', 'value': '85001206'}, {'type': 'uic', 'value': '85001206'}]",Courtételle,[],"{'lat': '47.34282', 'lon': '7.31794'}",Courtételle (Courtételle),Europe/Paris,stop_area:SNCF:85001206,"[{'insee': '', 'name': 'Courtételle', 'level': 8, 'coord': {'lat': '47.33094706326774', 'lon': '7.317637693177696'}, 'label': 'Courtételle (2852)', 'id': 'admin:osm:relation:1685594', 'zip_code': '2852'}]",,85001206,47.34282,7.31794,Courtételle
15,"[{'type': 'source', 'value': '88960080'}, {'type': 'uic', 'value': '88960080'}]",Courtrai,[],"{'lat': '50.824', 'lon': '3.26'}",Courtrai (Kortrijk),Europe/Paris,stop_area:SNCF:88960080,"[{'insee': '', 'name': 'Kortrijk', 'level': 8, 'coord': {'lat': '50.8276429', 'lon': '3.2659884'}, 'label': 'Kortrijk', 'id': 'admin:osm:relation:961284', 'zip_code': ''}]",,88960080,50.824,3.26,Kortrijk
14,"[{'type': 'source', 'value': '85010124'}, {'type': 'uic', 'value': '85010124'}]",Creux-de-Genthod,[],"{'lat': '46.263758', 'lon': '6.161319'}",Creux-de-Genthod (Genthod),Europe/Paris,stop_area:SNCF:85010124,"[{'insee': '', 'name': 'Genthod', 'level': 8, 'coord': {'lat': '46.26359319041534', 'lon': '6.161741059172216'}, 'label': 'Genthod (1294)', 'id': 'admin:osm:relation:1685487', 'zip_code': '1294'}]",,85010124,46.263758,6.161319,Genthod
9,"[{'type': 'source', 'value': '85001099'}, {'type': 'uic', 'value': '85001099'}]",Delemont,[],"{'lat': '47.362', 'lon': '7.35007'}",Delemont (Delémont),Europe/Paris,stop_area:SNCF:85001099,"[{'insee': '', 'name': 'Delémont', 'level': 8, 'coord': {'lat': '47.37510007783584', 'lon': '7.332897004444538'}, 'label': 'Delémont (2800)', 'id': 'admin:osm:relation:1685596', 'zip_code': '2800'}]",,85001099,47.362,7.35007,Delémont
16,"[{'type': 'source', 'value': '82007146'}, {'type': 'uic', 'value': '82007146'}]",Dippach secteur Reckange,[],"{'lat': '49.57252', 'lon': '5.99512'}",Dippach secteur Reckange (Dippach),Europe/Paris,stop_area:SNCF:82007146,"[{'insee': '', 'name': 'Dippach', 'level': 8, 'coord': {'lat': '49.587507', 'lon': '5.9814794'}, 'label': 'Dippach', 'id': 'admin:osm:relation:407895', 'zip_code': ''}]",,82007146,49.57252,5.99512,Dippach
2,"[{'type': 'source', 'value': '80100537'}, {'type': 'uic', 'value': '80100537'}]",Dortmund Hbf,[],"{'lat': '51.518', 'lon': '7.4592'}",Dortmund Hbf (Dortmund),Europe/Paris,stop_area:SNCF:80100537,"[{'insee': '', 'name': 'Dortmund', 'level': 8, 'coord': {'lat': '51.51422729999999', 'lon': '7.4652789'}, 'label': 'Dortmund', 'id': 'admin:osm:relation:1829065', 'zip_code': ''}]",,80100537,51.518,7.4592,Dortmund
2,"[{'type': 'source', 'value': '80156539'}, {'type': 'uic', 'value': '80156539'}]",Duesseldorf Flughafen,[],"{'lat': '51.2916', 'lon': '6.7869'}",Duesseldorf Flughafen (Düsseldorf),Europe/Paris,stop_area:SNCF:80156539,"[{'insee': '', 'name': 'Düsseldorf', 'level': 8, 'coord': {'lat': '51.2254018', 'lon': '6.776313699999999'}, 'label': 'Düsseldorf', 'id': 'admin:osm:relation:62539', 'zip_code': ''}]",,80156539,51.2916,6.7869,Düsseldorf
3,"[{'type': 'source', 'value': '80080945'}, {'type': 'uic', 'value': '80080945'}]",Duesseldorf Hbf,[],"{'lat': '51.2194', 'lon': '6.7946'}",Duesseldorf Hbf (Düsseldorf),Europe/Paris,stop_area:SNCF:80080945,"[{'insee': '', 'name': 'Düsseldorf', 'level': 8, 'coord': {'lat': '51.2254018', 'lon': '6.776313699999999'}, 'label': 'Düsseldorf', 'id': 'admin:osm:relation:62539', 'zip_code': ''}]",,80080945,51.2194,6.7946,Düsseldorf
5,"[{'type': 'source', 'value': '80103168'}, {'type': 'uic', 'value': '80103168'}]",Duisburg Hbf,[],"{'lat': '51.4297', 'lon': '6.7755'}",Duisburg Hbf (Duisburg),Europe/Paris,stop_area:SNCF:80103168,"[{'insee': '', 'name': 'Duisburg', 'level': 8, 'coord': {'lat': '51.434999', 'lon': '6.759562'}, 'label': 'Duisburg', 'id': 'admin:osm:relation:62456', 'zip_code': ''}]",,80103168,51.4297,6.7755,Duisburg
3,"[{'type': 'source', 'value': '80194217'}, {'type': 'uic', 'value': '80194217'}]",Edenkoben,[],"{'lat': '49.28185', 'lon': '8.140549999999999'}",Edenkoben (Edenkoben),Europe/Paris,stop_area:SNCF:80194217,"[{'insee': '', 'name': 'Edenkoben', 'level': 8, 'coord': {'lat': '49.29183216590821', 'lon': '8.061976679641724'}, 'label': 'Edenkoben', 'id': 'admin:osm:relation:1252494', 'zip_code': ''}]",,80194217,49.28185,8.14055,Edenkoben
17,"[{'type': 'source', 'value': '80143313'}, {'type': 'uic', 'value': '80143313'}]",Emmendingen,[],"{'lat': '48.1193', 'lon': '7.8479'}",Emmendingen (Emmendingen),Europe/Paris,stop_area:SNCF:80143313,"[{'insee': '', 'name': 'Emmendingen', 'level': 8, 'coord': {'lat': '48.1206565', 'lon': '7.850993'}, 'label': 'Emmendingen', 'id': 'admin:osm:relation:1124268', 'zip_code': ''}]",,80143313,48.1193,7.8479,Emmendingen
10,"[{'type': 'source', 'value': '80101840'}, {'type': 'uic', 'value': '80101840'}]",Essen Hbf,[],"{'lat': '51.4516', 'lon': '7.0138'}",Essen Hbf (Essen),Europe/Paris,stop_area:SNCF:80101840,"[{'insee': '', 'name': 'Essen', 'level': 8, 'coord': {'lat': '51.4582235', 'lon': '7.0158171'}, 'label': 'Essen', 'id': 'admin:osm:relation:62713', 'zip_code': ''}]",,80101840,51.4516,7.0138,Essen
15,"[{'type': 'source', 'value': '71043075'}, {'type': 'uic', 'value': '71043075'}]",FIGUERES-VILAFANT,[],"{'lat': '42.264581', 'lon': '2.943028'}",FIGUERES-VILAFANT (Vilafant),Europe/Paris,stop_area:SNCF:71043075,"[{'insee': '', 'name': 'Vilafant', 'level': 8, 'coord': {'lat': '42.2515266', 'lon': '2.9418008'}, 'label': 'Vilafant (17740)', 'id': 'admin:osm:relation:342990', 'zip_code': '17740'}]",,71043075,42.264581,2.943028,Vilafant
24,"[{'type': 'source', 'value': '80110684'}, {'type': 'uic', 'value': '80110684'}]",Francfort sur le Main,[],"{'lat': '50.1073', 'lon': '8.6624'}",Francfort sur le Main (Frankfurt am Main),Europe/Paris,stop_area:SNCF:80110684,"[{'insee': '', 'name': 'Frankfurt am Main', 'level': 8, 'coord': {'lat': '50.1106444', 'lon': '8.682091699999999'}, 'label': 'Frankfurt am Main', 'id': 'admin:osm:relation:62400', 'zip_code': ''}]",,80110684,50.1073,8.6624,Frankfurt am Main
9,"[{'type': 'source', 'value': '80143503'}, {'type': 'uic', 'value': '80143503'}]",Freiburg (Breisgau) Hbf,[],"{'lat': '47.9979', 'lon': '7.8416'}",Freiburg (Breisgau) Hbf (Freiburg im Breisgau),Europe/Paris,stop_area:SNCF:80143503,"[{'insee': '', 'name': 'Freiburg im Breisgau', 'level': 8, 'coord': {'lat': '47.9960901', 'lon': '7.8494005'}, 'label': 'Freiburg im Breisgau', 'id': 'admin:osm:relation:62768', 'zip_code': ''}]",,80143503,47.9979,7.8416,Freiburg im Breisgau
12,"[{'type': 'source', 'value': '88850685'}, {'type': 'uic', 'value': '88850685'}]",FROYENNES,[],"{'lat': '50.629', 'lon': '3.355'}",FROYENNES (Tournai),Europe/Paris,stop_area:SNCF:88850685,"[{'insee': '', 'name': 'Tournai', 'level': 8, 'coord': {'lat': '50.6056458', 'lon': '3.3878179'}, 'label': 'Tournai', 'id': 'admin:osm:relation:2162970', 'zip_code': ''}]",,88850685,50.629,3.355,Tournai
8,"[{'type': 'source', 'value': '85010082'}, {'type': 'uic', 'value': '85010082'}]",Genève,[],"{'lat': '46.21022', 'lon': '6.14244'}",Genève (Genève),Europe/Paris,stop_area:SNCF:85010082,"[{'insee': '', 'name': 'Genève', 'level': 8, 'coord': {'lat': '46.20175589999999', 'lon': '6.1466014'}, 'label': 'Genève', 'id': 'admin:osm:relation:1685488', 'zip_code': ''}]",,85010082,46.21022,6.14244,Genève
9,"[{'type': 'source', 'value': '85162727'}, {'type': 'uic', 'value': '85162727'}]",Genève-Champel,[],"{'lat': '46.192191', 'lon': '6.153505'}",Genève-Champel (Genève),Europe/Paris,stop_area:SNCF:85162727,"[{'insee': '', 'name': 'Genève', 'level': 8, 'coord': {'lat': '46.20175589999999', 'lon': '6.1466014'}, 'label': 'Genève', 'id': 'admin:osm:relation:1685488', 'zip_code': ''}]",,85162727,46.192191,6.153505,Genève
10,"[{'type': 'source', 'value': '85162735'}, {'type': 'uic', 'value': '85162735'}]",Genève-Eaux-Vives,[],"{'lat': '46.201444', 'lon': '6.16658'}",Genève-Eaux-Vives (Genève),Europe/Paris,stop_area:SNCF:85162735,"[{'insee': '', 'name': 'Genève', 'level': 8, 'coord': {'lat': '46.20175589999999', 'lon': '6.1466014'}, 'label': 'Genève', 'id': 'admin:osm:relation:1685488', 'zip_code': ''}]",,85162735,46.201444,6.16658,Genève
11,"[{'type': 'source', 'value': '85162834'}, {'type': 'uic', 'value': '85162834'}]",Genève-Sécheron,[],"{'lat': '46.222438', 'lon': '6.144557'}",Genève-Sécheron (Genève),Europe/Paris,stop_area:SNCF:85162834,"[{'insee': '', 'name': 'Genève', 'level': 8, 'coord': {'lat': '46.20175589999999', 'lon': '6.1466014'}, 'label': 'Genève', 'id': 'admin:osm:relation:1685488', 'zip_code': ''}]",,85162834,46.222438,6.144557,Genève
16,"[{'type': 'source', 'value': '85010215'}, {'type': 'uic', 'value': '85010215'}]",Genthod-Bellevue,[],"{'lat': '46.256728', 'lon': '6.153962'}",Genthod-Bellevue (Genthod),Europe/Paris,stop_area:SNCF:85010215,"[{'insee': '', 'name': 'Genthod', 'level': 8, 'coord': {'lat': '46.26359319041534', 'lon': '6.161741059172216'}, 'label': 'Genthod (1294)', 'id': 'admin:osm:relation:1685487', 'zip_code': '1294'}]",,85010215,46.256728,6.153962,Genthod
15,"[{'type': 'source', 'value': '71793000'}, {'type': 'uic', 'value': '71793000'}]",GIRONA,[],"{'lat': '41.979371', 'lon': '2.816957'}",GIRONA (Girona),Europe/Paris,stop_area:SNCF:71793000,"[{'insee': '', 'name': 'Girona', 'level': 8, 'coord': {'lat': '41.97930059999999', 'lon': '2.8199439'}, 'label': 'Girona', 'id': 'admin:osm:relation:343535', 'zip_code': ''}]",,71793000,41.979371,2.816957,Girona
22,"[{'type': 'source', 'value': '85010314'}, {'type': 'uic', 'value': '85010314'}]",Gland,[],"{'lat': '46.419995', 'lon': '6.269138'}",Gland (Gland),Europe/Paris,stop_area:SNCF:85010314,"[{'insee': '', 'name': 'Gland', 'level': 8, 'coord': {'lat': '46.41973595683019', 'lon': '6.27304145639375'}, 'label': 'Gland (1196)', 'id': 'admin:osm:relation:1684988', 'zip_code': '1196'}]",,85010314,46.419995,6.269138,Gland
23,"[{'type': 'source', 'value': '85001230'}, {'type': 'uic', 'value': '85001230'}]",Glovelier,[],"{'lat': '47.3352', 'lon': '7.20931'}",Glovelier (Haute-Sorne),Europe/Paris,stop_area:SNCF:85001230,"[{'insee': '', 'name': 'Haute-Sorne', 'level': 8, 'coord': {'lat': '47.3370866', 'lon': '7.2440935'}, 'label': 'Haute-Sorne (2863)', 'id': 'admin:osm:relation:2759181', 'zip_code': '2863'}]",,85001230,47.3352,7.20931,Haute-Sorne
13,"[{'type': 'source', 'value': '85001594'}, {'type': 'uic', 'value': '85001594'}]",Grenchen Nord,[],"{'lat': '47.1918', 'lon': '7.38947'}",Grenchen Nord (Grenchen),Europe/Paris,stop_area:SNCF:85001594,"[{'insee': '', 'name': 'Grenchen', 'level': 8, 'coord': {'lat': '47.19722103444467', 'lon': '7.387597093043016'}, 'label': 'Grenchen (2540)', 'id': 'admin:osm:relation:1683510', 'zip_code': '2540'}]",,85001594,47.1918,7.38947,Grenchen
