IND,city,lat_city,lon_city
181,Sainte-Florine,45.4030439,3.3179282
182,Commune nouvelle d'Arrou,48.0995846,1.1224687
184,Ars-sur-Moselle,49.0769676,6.0763114
186,Arsonval,48.2681338,4.6511011
187,Artenay,48.0825788,1.8785823
188,Artix,43.397429,-0.5722401
189,Bournoncle-Saint-Pierre,45.3433766,3.3182435
191,Asnières-sur-Seine,48.9105948,2.2890454
193,Aspres-sur-Buëch,44.5219283,5.7502024
194,Assat,43.2495978,-0.2990176
195,Assier,44.6753004,1.8762866
196,Astaffort,44.06324739999999,0.651455
197,Athis-Mons,48.7079028,2.3890941
199,Chaville,48.80869149999999,2.1883487
200,Aubagne,43.2924385,5.570303099999999
201,Saint-Hilaire-Peyroux,45.2135945,1.6485671
202,Aube,48.7401961,0.545119
203,Rémilly,49.0116713,6.396058699999999
204,Aubenas,44.62054759999999,4.3902399
206,Paris,48.8534951,2.3483915
207,Aubergenville,48.9591392,1.8554319
208,Aubiat,45.9769261,3.1683548
209,Val de Virvée,45.0178862,-0.4025194
210,Aubiet,43.6465589,0.783188
211,Aubigné-Racan,47.690447,0.2671194
212,Aubigny-au-Bac,50.2624533,3.1644926
213,Aubigny-en-Artois,50.3515952,2.5896284
214,Aubigny-sur-Nère,47.4887418,2.4381889
215,Aubin,44.5273044,2.2434371
216,Aubin-Saint-Vaast,50.3976597,1.9744794
217,Auboué,49.21287359999999,5.9750234
218,Aubrives,50.1032047,4.7625256
219,Aubusson,45.95468959999999,2.1672725
220,Auch,43.64635579999999,0.5850506999999999
225,Auchy-lès-Hesdin,50.3988228,2.1019554
226,Audrieu,49.2086267,-0.5897566
227,Audruicq,50.87864889999999,2.0752362
228,Audun-le-Roman,49.3693335,5.8954035
229,Val-de-Scie,49.718825,1.0990371
230,Augsburg,48.3668041,10.8986971
231,Aulnat,45.7949413,3.16383
232,Aulnay-sous-Bois,48.934231,2.499789
234,Aulnoye-Aymeries,50.2002502,3.8336383
235,Aumale,49.7705,1.75454
236,Peyre en Aubrac,44.7226438,3.2842235
237,Roinville,48.4449803,1.7464904
238,Auneau-Bleury-Saint-Symphorien,48.4630963,1.7752783
241,Auray,47.6664485,-2.9833718
242,Aurec-sur-Loire,45.3698465,4.2008542
243,Aurillac,44.9285441,2.4433101
244,Auterive,43.3524028,1.4775095
245,Autreville,48.48471869999999,5.8493806
246,Autun,46.9510313,4.2989478
247,Auvers-sur-Oise,49.0701875,2.1718687
248,Auxerre,47.7961287,3.570579
249,Auxon,48.1045773,3.918873
251,Tillenay,47.1815359,5.3496636
253,Issoudun,46.9477826,1.9889131
254,Saint-Georges-sur-Arnon,46.9991109,2.0933329
255,Avallon,47.4885365,3.9070658
256,Avenay-Val-d'Or,49.0686744,4.047372699999999
259,Villiers-sur-Marne,48.8262055,2.5406696
260,Avesnelles,50.1182023,3.9473593
261,Avesnes-sur-Helpe,50.1218835,3.9321056
262,Avignon,43.9492493,4.8059012
264,Avignonet-Lauragais,43.3664114,1.784854
265,Avion,50.4126128,2.8343891
266,Avord,47.0353206,2.6511406
267,Avoudrey,47.1366777,6.436097699999999
268,Avranches,48.6862085,-1.3579476
269,Avrechy,49.4482873,2.4271147
270,Avrée,46.8183929,3.8692711
271,Avricourt,48.649744,6.8067505
274,Ax-les-Thermes,42.7193597,1.8379765
275,Aÿ-Champagne,49.0535441,4.0047732
276,Aytré,46.13333249999999,-1.1146694
277,Azay-le-Rideau,47.2614793,0.4667128
279,Montlouis-sur-Loire,47.3881023,0.8269289
280,Azay-sur-Indre,47.2091376,0.9458652
282,Azerailles,48.48768949999999,6.695375899999999
283,La Chapelle-sur-Erdre,47.2996846,-1.5518632
284,Baccarat,48.4487414,6.7381417
285,Bachos,42.8970924,0.6181225
286,Baden-Baden,48.7580777,8.241523899999999
287,Bagiry,42.9781,0.626826
289,Bagnac-sur-Célé,44.6667052,2.1570481
290,Bagneaux-sur-Loing,48.2314677,2.7042711
291,Bagnères-de-Bigorre,43.06582119999999,0.1530914
292,Bagnères-de-Luchon,42.7910617,0.5912279
295,Bagnoles-de-l'Orne-Normandie,48.5539388,-0.4229186
297,Chadenet,44.5196,3.63332
298,Bagnols,45.4987114,2.6319543
299,Bagnols-sur-Cèze,44.160481,4.623583099999999
300,Baillargues,43.6609569,4.0133114
301,Bailleau-le-Pin,48.3649496,1.3278089
302,Bailleul,50.73966679999999,2.7349286
303,Bailleul-Sir-Berthoult,50.3377554,2.8514597
304,Bailly,48.838001,2.0802293
305,Le Clerjus,47.9601,6.3221
306,Baisieux,50.6148786,3.2410393
307,Balagny-sur-Thérain,49.2959835,2.3361068
309,Balazuc,44.5092291,4.3728494
310,Balbigny,45.8187228,4.1833034
311,Basel,47.55775487016457,7.593593164705856
312,Ballan-Miré,47.3413214,0.6131325
313,Ballancourt-sur-Essonne,48.5262129,2.3858373
314,Balsièges,44.4823208,3.4575849
316,Banassac-Canilhac,44.4346927,3.2014936
317,Bandol,43.1357717,5.752364699999999
318,Bannalec,47.9325142,-3.6981199
319,Bannay,47.3870149,2.8858141
321,Éguelshardt,49.0209699,7.4989748
322,Bantzenheim,47.82452079999999,7.5149874
323,Banyuls-sur-Mer,42.4794084,3.1275893
324,Bar-sur-Aube,48.23320469999999,4.705833699999999
326,Bar-le-Duc,48.7712673,5.162380499999999
331,Baraqueville,44.2767537,2.433498
333,Barbâtre,46.9447222,-2.1794444
334,Barberey-Saint-Sulpice,48.3382076,4.0311964
336,Barcelona,41.3828939,2.1774322
337,Barcelonne-du-Gers,43.7028316,-0.2354142
338,Bardonecchia,45.078339,6.703205
339,Barentin,49.5459699,0.9522586
342,Barenton-Bugny,49.6335,3.6524
343,Barenton-Cel,49.6425,3.6536
344,Barenton-sur-Serre,49.669959,3.6813741
345,Barisey-au-Plain,48.5249105,5.8423251
346,Barisey-la-Côte,48.54378089999999,5.843085299999999
347,Barjac,44.5037957,3.4113639
348,Dommary-Baroncourt,49.28545,5.702199999999999
349,Baronville,48.9346912,6.6092455
350,Barr,48.4088704,7.4492808
351,Barsac,44.6043291,-0.323435
352,Bartenheim,47.6354901,7.4766365
354,Bas-en-Basset,45.3056154,4.1116823
355,Évette-Salbert,47.6754684,6.798476
356,Käerjeng,49.5712686,5.912845
357,Gièvres,47.27567,1.6679
359,Basse-Ham,49.385785,6.243396199999999
361,Haute-Sorne,47.3370866,7.2440935
362,Bassens,44.9015003,-0.5163222
363,Bassing,48.8684082,6.8014037
364,Batz-sur-Mer,47.2771383,-2.4791931
365,Baudrecourt,48.9625753,6.4535646
366,Baugé-en-Anjou,47.5422732,-0.1040831
367,Baule,47.81046,1.67055
368,Baume-les-Dames,47.3526707,6.3614622
369,Bauvin,50.51909999999999,2.89353
370,Bayard-sur-Marne,48.55407,5.0769917
371,Bayel,48.1984211,4.7760961
373,Bayeux,49.2764624,-0.7024737999999999
374,Virecourt,48.4627096,6.3183579
375,Bayonne,43.4945144,-1.4736657
376,Bazancourt,49.3624227,4.1719947
377,Bazeilles,49.6760402,4.9780162
378,Baziège,43.4552,1.61312
379,Béard,46.8624,3.32686
381,Calais,50.9524769,1.8538446
382,Beaucaire,43.8085436,4.639264799999999
383,Beauchastel,44.8250002,4.800276999999999
384,Beaugency,47.7778775,1.6311944
385,Beaulieu-sur-Mer,43.7088,7.333749999999999
386,Beaumont-de-Lomagne,43.8817933,0.9875923
387,Beaumont-le-Roger,49.07816099999999,0.7768341
388,Beaune,47.0239064,4.8380426
389,Beaurainville,50.4248426,1.9009458
390,Beautiran,44.7044407,-0.4511393
391,Beauvais,49.4300997,2.0823355
392,Beauvais-sur-Tescou,43.9117,1.56906
393,Beauvallon,44.8571562,4.9031348
394,Beauvoir-sur-Mer,46.9169461,-2.0413971
395,Beauvoir-sur-Niort,46.1802152,-0.4741456
396,Beauvoisin,43.7189318,4.3233989
397,Beauzac,45.2593451,4.0992665
398,Bébing,48.7126039,6.997120499999999
399,Courbevoie,48.8953328,2.2561602
400,Bédarieux,43.6155109,3.1576143
401,Bédarrides,44.0407425,4.8982969
402,Bedous,42.9992191,-0.6002255
403,Bègles,44.8074559,-0.5488542
404,Saint-Sever-de-Saintonge,45.6940704,-0.5076702
405,Meroux-Moval,47.5960706,6.8991456
406,Belfort,47.6379599,6.8628942
407,Bellac,46.1209036,1.0502545
408,Louargat,48.5665253,-3.3403924
409,Valserhône,46.1076476,5.8261219
412,Bellenaves,46.1992438,3.0781699
413,Belleville,48.81767139999999,6.0982683
414,Belleville-en-Beaujolais,46.1089382,4.748655299999999
415,Bellevigny,46.7842036,-1.4300397
416,Meudon,48.8126688,2.2385432
417,Bellignat,46.2418811,5.6293467
420,Bellou-en-Houlme,48.6910539,-0.442333
421,Belloy-en-France,49.0892802,2.367884
422,Pays de Belvès,44.7751847,1.0068584
423,Mont Lozère et Goulet,44.486663,3.7360401
424,Enveitg,42.45969669999999,1.9154184
425,Bénesse-Maremne,43.6334222,-1.361178
426,Bénestroff,48.90512529999999,6.7600862
428,Benet,46.3683333,-0.5961111
429,Benfeld,48.3707281,7.5952375
430,Bengy-sur-Craon,46.9991509,2.748045
431,Béning-lès-Saint-Avold,49.1371435,6.8393714
432,Berg (Pfalz),48.98233936972913,8.204588638575972
433,Bergerac,44.8534568,0.487531
434,Bergheim,48.2056672,7.362175499999999
435,Bergues,50.9683886,2.4325247
436,Isbergues,50.6238724,2.4527186
437,Berlaimont,50.20264179999999,3.8123133
438,Bermering,48.9328583,6.709441699999999
439,Bernac-Debat,43.1666657,0.1094481
440,Arcizac-Adour,43.1566471,0.0994707
441,Bernay,49.0902278,0.5989156999999999
442,Bersac-sur-Rivalier,46.080179,1.4263724
443,Berthelming,48.816622,7.0069365
