,codes,name,links,coord,label,timezone,id,administrative_regions,insee,lat,lon,lat_city,lon_city,city
0,"[{'type': 'source', 'value': '87773457'}, {'type': 'uic', 'value': '87773457'}]",Baillargues,[],"{'lat': '43.653323', 'lon': '4.007159'}",Baillargues (Baillargues),Europe/Paris,stop_area:SNCF:87773457,"[{'insee': '34022', 'name': 'Baillargues', 'level': 8, 'coord': {'lat': '43.6609569', 'lon': '4.0133114'}, 'label': 'Baillargues (34670)', 'id': 'admin:fr:34022', 'zip_code': '34670'}]",34022,43.653323,4.007159,43.6609569,4.0133114,Baillargues
1,"[{'type': 'source', 'value': '87394411'}, {'type': 'uic', 'value': '87394411'}]",Bailleau-le-pin,[],"{'lat': '48.366928', 'lon': '1.325333'}",Bailleau-le-pin (Bailleau-le-Pin),Europe/Paris,stop_area:SNCF:87394411,"[{'insee': '28021', 'name': 'Bailleau-le-Pin', 'level': 8, 'coord': {'lat': '48.3649496', 'lon': '1.3278089'}, 'label': 'Bailleau-le-Pin (28120)', 'id': 'admin:fr:28021', 'zip_code': '28120'}]",28021,48.366928,1.325333,48.3649496,1.3278089,Bailleau-le-Pin
2,"[{'type': 'source', 'value': '87286179'}, {'type': 'uic', 'value': '87286179'}]",Bailleul,[],"{'lat': '50.729167', 'lon': '2.734485'}",Bailleul (Bailleul),Europe/Paris,stop_area:SNCF:87286179,"[{'insee': '59043', 'name': 'Bailleul', 'level': 8, 'coord': {'lat': '50.73966679999999', 'lon': '2.7349286'}, 'label': 'Bailleul (59270)', 'id': 'admin:fr:59043', 'zip_code': '59270'}]",59043,50.729167,2.734485,50.73966679999999,2.7349286,Bailleul
3,"[{'type': 'source', 'value': '87342592'}, {'type': 'uic', 'value': '87342592'}]",Bailleul-Sir-Berthoult,[],"{'lat': '50.335379', 'lon': '2.841149'}",Bailleul-Sir-Berthoult (Bailleul-Sir-Berthoult),Europe/Paris,stop_area:SNCF:87342592,"[{'insee': '62073', 'name': 'Bailleul-Sir-Berthoult', 'level': 8, 'coord': {'lat': '50.3377554', 'lon': '2.8514597'}, 'label': 'Bailleul-Sir-Berthoult (62580)', 'id': 'admin:fr:62073', 'zip_code': '62580'}]",62073,50.335379,2.841149,50.3377554,2.8514597,Bailleul-Sir-Berthoult
4,"[{'type': 'source', 'value': '87710780'}, {'type': 'uic', 'value': '87710780'}]",Bailly T13,[],"{'lat': '48.837372', 'lon': '2.074181'}",Bailly T13 (Bailly),Europe/Paris,stop_area:SNCF:87710780,"[{'insee': '78043', 'name': 'Bailly', 'level': 8, 'coord': {'lat': '48.838001', 'lon': '2.0802293'}, 'label': 'Bailly (78870)', 'id': 'admin:fr:78043', 'zip_code': '78870'}]",78043,48.837372,2.074181,48.838001,2.0802293,Bailly
5,"[{'type': 'source', 'value': '87144147'}, {'type': 'uic', 'value': '87144147'}]",Bains-les-Bains,[],"{'lat': '47.981216', 'lon': '6.295263'}",Bains-les-Bains (Le Clerjus),Europe/Paris,stop_area:SNCF:87144147,"[{'insee': '88108', 'name': 'Le Clerjus', 'level': 8, 'coord': {'lat': '47.9601', 'lon': '6.3221'}, 'label': 'Le Clerjus (88240)', 'id': 'admin:fr:88108', 'zip_code': '88240'}]",88108,47.981216,6.295263,47.9601,6.3221,Le Clerjus
6,"[{'type': 'source', 'value': '87286872'}, {'type': 'uic', 'value': '87286872'}]",Baisieux,[],"{'lat': '50.618307', 'lon': '3.23487'}",Baisieux (Baisieux),Europe/Paris,stop_area:SNCF:87286872,"[{'insee': '59044', 'name': 'Baisieux', 'level': 8, 'coord': {'lat': '50.6148786', 'lon': '3.2410393'}, 'label': 'Baisieux (59780)', 'id': 'admin:fr:59044', 'zip_code': '59780'}]",59044,50.618307,3.23487,50.6148786,3.2410393,Baisieux
7,"[{'type': 'source', 'value': '87313569'}, {'type': 'uic', 'value': '87313569'}]",Balagny Saint-Épin,[],"{'lat': '49.294332', 'lon': '2.343907'}",Balagny Saint-Épin (Balagny-sur-Thérain),Europe/Paris,stop_area:SNCF:87313569,"[{'insee': '60044', 'name': 'Balagny-sur-Thérain', 'level': 8, 'coord': {'lat': '49.2959835', 'lon': '2.3361068'}, 'label': 'Balagny-sur-Thérain (60250)', 'id': 'admin:fr:60044', 'zip_code': '60250'}]",60044,49.294332,2.343907,49.2959835,2.3361068,Balagny-sur-Thérain
8,"[{'type': 'source', 'value': '87414706'}, {'type': 'uic', 'value': '87414706'}]",Balard,[],"{'lat': '48.836811', 'lon': '2.278751'}",Balard (Paris),Europe/Paris,stop_area:SNCF:87414706,"[{'insee': '75056', 'name': 'Paris', 'level': 8, 'coord': {'lat': '48.8534951', 'lon': '2.3483915'}, 'label': 'Paris (75000-75116)', 'id': 'admin:fr:75056', 'zip_code': '75000;75116'}]",75056,48.836811,2.278751,48.8534951,2.3483915,Paris
9,"[{'type': 'source', 'value': '87420828'}, {'type': 'uic', 'value': '87420828'}]",Balazuc RD579,[],"{'lat': '44.502509', 'lon': '4.386705'}",Balazuc RD579 (Balazuc),Europe/Paris,stop_area:SNCF:87420828,"[{'insee': '07023', 'name': 'Balazuc', 'level': 8, 'coord': {'lat': '44.5092291', 'lon': '4.3728494'}, 'label': 'Balazuc (07120)', 'id': 'admin:fr:07023', 'zip_code': '07120'}]",07023,44.502509,4.386705,44.5092291,4.3728494,Balazuc
10,"[{'type': 'source', 'value': '87726869'}, {'type': 'uic', 'value': '87726869'}]",Balbigny,[],"{'lat': '45.817868', 'lon': '4.187427'}",Balbigny (Balbigny),Europe/Paris,stop_area:SNCF:87726869,"[{'insee': '42011', 'name': 'Balbigny', 'level': 8, 'coord': {'lat': '45.8187228', 'lon': '4.1833034'}, 'label': 'Balbigny (42510)', 'id': 'admin:fr:42011', 'zip_code': '42510'}]",42011,45.817868,4.187427,45.8187228,4.1833034,Balbigny
11,"[{'type': 'source', 'value': '87187930'}, {'type': 'uic', 'value': '87187930'}]",Bâle Saint-Jean,[],"{'lat': '47.57031', 'lon': '7.572745'}",Bâle Saint-Jean (Basel),Europe/Paris,stop_area:SNCF:87187930,"[{'insee': '', 'name': 'Basel', 'level': 8, 'coord': {'lat': '47.55775487016457', 'lon': '7.593593164705856'}, 'label': 'Basel', 'id': 'admin:osm:relation:1683619', 'zip_code': ''}]",,47.57031,7.572745,47.55775487016457,7.593593164705856,Basel
12,"[{'type': 'source', 'value': '87571604'}, {'type': 'uic', 'value': '87571604'}]",Ballan,[],"{'lat': '47.336747', 'lon': '0.617807'}",Ballan (Ballan-Miré),Europe/Paris,stop_area:SNCF:87571604,"[{'insee': '37018', 'name': 'Ballan-Miré', 'level': 8, 'coord': {'lat': '47.3413214', 'lon': '0.6131325'}, 'label': 'Ballan-Miré (37510)', 'id': 'admin:fr:37018', 'zip_code': '37510'}]",37018,47.336747,0.617807,47.3413214,0.6131325,Ballan-Miré
13,"[{'type': 'source', 'value': '87681437'}, {'type': 'uic', 'value': '87681437'}]",Ballancourt,[],"{'lat': '48.532114', 'lon': '2.371274'}",Ballancourt (Ballancourt-sur-Essonne),Europe/Paris,stop_area:SNCF:87681437,"[{'insee': '91045', 'name': 'Ballancourt-sur-Essonne', 'level': 8, 'coord': {'lat': '48.5262129', 'lon': '2.3858373'}, 'label': 'Ballancourt-sur-Essonne (91610)', 'id': 'admin:fr:91045', 'zip_code': '91610'}]",91045,48.532114,2.371274,48.5262129,2.3858373,Ballancourt-sur-Essonne
14,"[{'type': 'source', 'value': '87640656'}, {'type': 'uic', 'value': '87640656'}]",Balsièges Arrêt RN88,[],"{'lat': '44.482325', 'lon': '3.456205'}",Balsièges Arrêt RN88 (Balsièges),Europe/Paris,stop_area:SNCF:87640656,"[{'insee': '48016', 'name': 'Balsièges', 'level': 8, 'coord': {'lat': '44.4823208', 'lon': '3.4575849'}, 'label': 'Balsièges (48000)', 'id': 'admin:fr:48016', 'zip_code': '48000'}]",48016,44.482325,3.456205,44.4823208,3.4575849,Balsièges
15,"[{'type': 'source', 'value': '87111864'}, {'type': 'uic', 'value': '87111864'}]",Balsièges Bourg,[],"{'lat': '44.482212', 'lon': '3.456598'}",Balsièges Bourg (Balsièges),Europe/Paris,stop_area:SNCF:87111864,"[{'insee': '48016', 'name': 'Balsièges', 'level': 8, 'coord': {'lat': '44.4823208', 'lon': '3.4575849'}, 'label': 'Balsièges (48000)', 'id': 'admin:fr:48016', 'zip_code': '48000'}]",48016,44.482212,3.456598,44.4823208,3.4575849,Balsièges
16,"[{'type': 'source', 'value': '87783324'}, {'type': 'uic', 'value': '87783324'}]",Banassac - La Canourgue,[],"{'lat': '44.447763', 'lon': '3.195852'}",Banassac - La Canourgue (Banassac-Canilhac),Europe/Paris,stop_area:SNCF:87783324,"[{'insee': '48017', 'name': 'Banassac-Canilhac', 'level': 8, 'coord': {'lat': '44.4346927', 'lon': '3.2014936'}, 'label': 'Banassac-Canilhac (48500)', 'id': 'admin:fr:48017', 'zip_code': '48500'}]",48017,44.447763,3.195852,44.4346927,3.2014936,Banassac-Canilhac
17,"[{'type': 'source', 'value': '87755223'}, {'type': 'uic', 'value': '87755223'}]",Bandol,[],"{'lat': '43.140385', 'lon': '5.750128'}",Bandol (Bandol),Europe/Paris,stop_area:SNCF:87755223,"[{'insee': '83009', 'name': 'Bandol', 'level': 8, 'coord': {'lat': '43.1357717', 'lon': '5.752364699999999'}, 'label': 'Bandol (83150)', 'id': 'admin:fr:83009', 'zip_code': '83150'}]",83009,43.140385,5.750128,43.1357717,5.752364699999999,Bandol
18,"[{'type': 'source', 'value': '87474189'}, {'type': 'uic', 'value': '87474189'}]",Bannalec,[],"{'lat': '47.926867', 'lon': '-3.706417'}",Bannalec (Bannalec),Europe/Paris,stop_area:SNCF:87474189,"[{'insee': '29004', 'name': 'Bannalec', 'level': 8, 'coord': {'lat': '47.9325142', 'lon': '-3.6981199'}, 'label': 'Bannalec (29380)', 'id': 'admin:fr:29004', 'zip_code': '29380'}]",29004,47.926867,-3.706417,47.9325142,-3.6981199,Bannalec
19,"[{'type': 'source', 'value': '87314906'}, {'type': 'uic', 'value': '87314906'}]",Bannay Bourg,[],"{'lat': '47.386964', 'lon': '2.885861'}",Bannay Bourg (Bannay),Europe/Paris,stop_area:SNCF:87314906,"[{'insee': '18020', 'name': 'Bannay', 'level': 8, 'coord': {'lat': '47.3870149', 'lon': '2.8858141'}, 'label': 'Bannay (18300)', 'id': 'admin:fr:18020', 'zip_code': '18300'}]",18020,47.386964,2.885861,47.3870149,2.8858141,Bannay
20,"[{'type': 'source', 'value': '87643890'}, {'type': 'uic', 'value': '87643890'}]",Bannay les Hautes de Bussy,[],"{'lat': '47.386664', 'lon': '2.88571'}",Bannay les Hautes de Bussy (Bannay),Europe/Paris,stop_area:SNCF:87643890,"[{'insee': '18020', 'name': 'Bannay', 'level': 8, 'coord': {'lat': '47.3870149', 'lon': '2.8858141'}, 'label': 'Bannay (18300)', 'id': 'admin:fr:18020', 'zip_code': '18300'}]",18020,47.386664,2.88571,47.3870149,2.8858141,Bannay
21,"[{'type': 'source', 'value': '87213298'}, {'type': 'uic', 'value': '87213298'}]",Bannstein Croisement,[],"{'lat': '49.005201', 'lon': '7.502456'}",Bannstein Croisement (Éguelshardt),Europe/Paris,stop_area:SNCF:87213298,"[{'insee': '57188', 'name': 'Éguelshardt', 'level': 8, 'coord': {'lat': '49.0209699', 'lon': '7.4989748'}, 'label': 'Éguelshardt (57230)', 'id': 'admin:fr:57188', 'zip_code': '57230'}]",57188,49.005201,7.502456,49.0209699,7.4989748,Éguelshardt
22,"[{'type': 'source', 'value': '87182840'}, {'type': 'uic', 'value': '87182840'}]",Bantzenheim,[],"{'lat': '47.811132', 'lon': '7.503976'}",Bantzenheim (Bantzenheim),Europe/Paris,stop_area:SNCF:87182840,"[{'insee': '68020', 'name': 'Bantzenheim', 'level': 8, 'coord': {'lat': '47.82452079999999', 'lon': '7.5149874'}, 'label': 'Bantzenheim (68490)', 'id': 'admin:fr:68020', 'zip_code': '68490'}]",68020,47.811132,7.503976,47.82452079999999,7.5149874,Bantzenheim
23,"[{'type': 'source', 'value': '87784298'}, {'type': 'uic', 'value': '87784298'}]",Banyuls-sur-Mer,[],"{'lat': '42.482958', 'lon': '3.12505'}",Banyuls-sur-Mer (Banyuls-sur-Mer),Europe/Paris,stop_area:SNCF:87784298,"[{'insee': '66016', 'name': 'Banyuls-sur-Mer', 'level': 8, 'coord': {'lat': '42.4794084', 'lon': '3.1275893'}, 'label': 'Banyuls-sur-Mer (66650)', 'id': 'admin:fr:66016', 'zip_code': '66650'}]",66016,42.482958,3.12505,42.4794084,3.1275893,Banyuls-sur-Mer
24,"[{'type': 'source', 'value': '87727909'}, {'type': 'uic', 'value': '87727909'}]",Bar sur Aube Collége,[],"{'lat': '48.227346', 'lon': '4.704348'}",Bar sur Aube Collége (Bar-sur-Aube),Europe/Paris,stop_area:SNCF:87727909,"[{'insee': '10033', 'name': 'Bar-sur-Aube', 'level': 8, 'coord': {'lat': '48.23320469999999', 'lon': '4.705833699999999'}, 'label': 'Bar-sur-Aube (10200)', 'id': 'admin:fr:10033', 'zip_code': '10200'}]",10033,48.227346,4.704348,48.23320469999999,4.705833699999999,Bar-sur-Aube
0,"[{'type': 'source', 'value': '87732222'}, {'type': 'uic', 'value': '87732222'}]",Bar sur Aube Lycée,[],"{'lat': '48.226706', 'lon': '4.700115'}",Bar sur Aube Lycée (Bar-sur-Aube),Europe/Paris,stop_area:SNCF:87732222,"[{'insee': '10033', 'name': 'Bar-sur-Aube', 'level': 8, 'coord': {'lat': '48.23320469999999', 'lon': '4.705833699999999'}, 'label': 'Bar-sur-Aube (10200)', 'id': 'admin:fr:10033', 'zip_code': '10200'}]",10033,48.226706,4.700115,48.23320469999999,4.705833699999999,Bar-sur-Aube
1,"[{'type': 'source', 'value': '87175042'}, {'type': 'uic', 'value': '87175042'}]",Bar-le-Duc,[],"{'lat': '48.773598', 'lon': '5.167053'}",Bar-le-Duc (Bar-le-Duc),Europe/Paris,stop_area:SNCF:87175042,"[{'insee': '55029', 'name': 'Bar-le-Duc', 'level': 8, 'coord': {'lat': '48.7712673', 'lon': '5.162380499999999'}, 'label': 'Bar-le-Duc (55000)', 'id': 'admin:fr:55029', 'zip_code': '55000'}]",55029,48.773598,5.167053,48.7712673,5.162380499999999,Bar-le-Duc
2,"[{'type': 'source', 'value': '87118299'}, {'type': 'uic', 'value': '87118299'}]",Bar-sur-Aube,[],"{'lat': '48.238559', 'lon': '4.706872'}",Bar-sur-Aube (Bar-sur-Aube),Europe/Paris,stop_area:SNCF:87118299,"[{'insee': '10033', 'name': 'Bar-sur-Aube', 'level': 8, 'coord': {'lat': '48.23320469999999', 'lon': '4.705833699999999'}, 'label': 'Bar-sur-Aube (10200)', 'id': 'admin:fr:10033', 'zip_code': '10200'}]",10033,48.238559,4.706872,48.23320469999999,4.705833699999999,Bar-sur-Aube
3,"[{'type': 'source', 'value': '87215608'}, {'type': 'uic', 'value': '87215608'}]",Bar-sur-Aube Hôpital,[],"{'lat': '48.230899', 'lon': '4.715139'}",Bar-sur-Aube Hôpital (Bar-sur-Aube),Europe/Paris,stop_area:SNCF:87215608,"[{'insee': '10033', 'name': 'Bar-sur-Aube', 'level': 8, 'coord': {'lat': '48.23320469999999', 'lon': '4.705833699999999'}, 'label': 'Bar-sur-Aube (10200)', 'id': 'admin:fr:10033', 'zip_code': '10200'}]",10033,48.230899,4.715139,48.23320469999999,4.705833699999999,Bar-sur-Aube
4,"[{'type': 'source', 'value': '87398735'}, {'type': 'uic', 'value': '87398735'}]",Bar-sur-Aube Hôtel de Ville,[],"{'lat': '48.233353', 'lon': '4.706421'}",Bar-sur-Aube Hôtel de Ville (Bar-sur-Aube),Europe/Paris,stop_area:SNCF:87398735,"[{'insee': '10033', 'name': 'Bar-sur-Aube', 'level': 8, 'coord': {'lat': '48.23320469999999', 'lon': '4.705833699999999'}, 'label': 'Bar-sur-Aube (10200)', 'id': 'admin:fr:10033', 'zip_code': '10200'}]",10033,48.233353,4.706421,48.23320469999999,4.705833699999999,Bar-sur-Aube
5,"[{'type': 'source', 'value': '87215616'}, {'type': 'uic', 'value': '87215616'}]",Bar-sur-Aube Piscine,[],"{'lat': '48.241253', 'lon': '4.696597'}",Bar-sur-Aube Piscine (Bar-sur-Aube),Europe/Paris,stop_area:SNCF:87215616,"[{'insee': '10033', 'name': 'Bar-sur-Aube', 'level': 8, 'coord': {'lat': '48.23320469999999', 'lon': '4.705833699999999'}, 'label': 'Bar-sur-Aube (10200)', 'id': 'admin:fr:10033', 'zip_code': '10200'}]",10033,48.241253,4.696597,48.23320469999999,4.705833699999999,Bar-sur-Aube
6,"[{'type': 'source', 'value': '87615757'}, {'type': 'uic', 'value': '87615757'}]",Baraqueville,[],"{'lat': '44.270512', 'lon': '2.4274'}",Baraqueville (Baraqueville),Europe/Paris,stop_area:SNCF:87615757,"[{'insee': '12056', 'name': 'Baraqueville', 'level': 8, 'coord': {'lat': '44.2767537', 'lon': '2.433498'}, 'label': 'Baraqueville (12160)', 'id': 'admin:fr:12056', 'zip_code': '12160'}]",12056,44.270512,2.4274,44.2767537,2.433498,Baraqueville
7,"[{'type': 'source', 'value': '87441725'}, {'type': 'uic', 'value': '87441725'}]",Baraqueville Place Centrale,[],"{'lat': '44.277088', 'lon': '2.432651'}",Baraqueville Place Centrale (Baraqueville),Europe/Paris,stop_area:SNCF:87441725,"[{'insee': '12056', 'name': 'Baraqueville', 'level': 8, 'coord': {'lat': '44.2767537', 'lon': '2.433498'}, 'label': 'Baraqueville (12160)', 'id': 'admin:fr:12056', 'zip_code': '12160'}]",12056,44.277088,2.432651,44.2767537,2.433498,Baraqueville
8,"[{'type': 'source', 'value': '87462911'}, {'type': 'uic', 'value': '87462911'}]",Barbâtre Rond-Point de Gois,[],"{'lat': '46.908976', 'lon': '-2.159106'}",Barbâtre Rond-Point de Gois (Barbâtre),Europe/Paris,stop_area:SNCF:87462911,"[{'insee': '85011', 'name': 'Barbâtre', 'level': 8, 'coord': {'lat': '46.9447222', 'lon': '-2.1794444'}, 'label': 'Barbâtre (85630)', 'id': 'admin:fr:85011', 'zip_code': '85630'}]",85011,46.908976,-2.159106,46.9447222,-2.1794444,Barbâtre
9,"[{'type': 'source', 'value': '87139527'}, {'type': 'uic', 'value': '87139527'}]",Barberey-Saint-Sulpice Centre Commercial,[],"{'lat': '48.334086', 'lon': '4.023592'}",Barberey-Saint-Sulpice Centre Commercial (Barberey-Saint-Sulpice),Europe/Paris,stop_area:SNCF:87139527,"[{'insee': '10030', 'name': 'Barberey-Saint-Sulpice', 'level': 8, 'coord': {'lat': '48.3382076', 'lon': '4.0311964'}, 'label': 'Barberey-Saint-Sulpice (10600)', 'id': 'admin:fr:10030', 'zip_code': '10600'}]",10030,48.334086,4.023592,48.3382076,4.0311964,Barberey-Saint-Sulpice
10,"[{'type': 'source', 'value': '87139535'}, {'type': 'uic', 'value': '87139535'}]",Barberey-Saint-Sulpice Route d,[],"{'lat': '48.338838', 'lon': '4.030786'}",Barberey-Saint-Sulpice Route d (Barberey-Saint-Sulpice),Europe/Paris,stop_area:SNCF:87139535,"[{'insee': '10030', 'name': 'Barberey-Saint-Sulpice', 'level': 8, 'coord': {'lat': '48.3382076', 'lon': '4.0311964'}, 'label': 'Barberey-Saint-Sulpice (10600)', 'id': 'admin:fr:10030', 'zip_code': '10600'}]",10030,48.338838,4.030786,48.3382076,4.0311964,Barberey-Saint-Sulpice
11,"[{'type': 'source', 'value': '71718010'}, {'type': 'uic', 'value': '71718010'}]",Barcelone-Sants,[],"{'lat': '41.378961', 'lon': '2.139834'}",Barcelone-Sants (Barcelona),Europe/Paris,stop_area:SNCF:71718010,"[{'insee': '', 'name': 'Barcelona', 'level': 8, 'coord': {'lat': '41.3828939', 'lon': '2.1774322'}, 'label': 'Barcelona (08001)', 'id': 'admin:osm:relation:347950', 'zip_code': '08001'}]",,41.378961,2.139834,41.3828939,2.1774322,Barcelona
12,"[{'type': 'source', 'value': '87671057'}, {'type': 'uic', 'value': '87671057'}]",Barcelonne-du-Gers,[],"{'lat': '43.702983', 'lon': '-0.237051'}",Barcelonne-du-Gers (Barcelonne-du-Gers),Europe/Paris,stop_area:SNCF:87671057,"[{'insee': '32027', 'name': 'Barcelonne-du-Gers', 'level': 8, 'coord': {'lat': '43.7028316', 'lon': '-0.2354142'}, 'label': 'Barcelonne-du-Gers (32720)', 'id': 'admin:fr:32027', 'zip_code': '32720'}]",32027,43.702983,-0.237051,43.7028316,-0.2354142,Barcelonne-du-Gers
13,"[{'type': 'source', 'value': '83002022'}, {'type': 'uic', 'value': '83002022'}]",BARDONECCHIA,[],"{'lat': '45.076449', 'lon': '6.709963'}",BARDONECCHIA (Bardonecchia),Europe/Paris,stop_area:SNCF:83002022,"[{'insee': '', 'name': 'Bardonecchia', 'level': 8, 'coord': {'lat': '45.078339', 'lon': '6.703205'}, 'label': 'Bardonecchia', 'id': 'admin:osm:relation:44251', 'zip_code': ''}]",,45.076449,6.709963,45.078339,6.703205,Bardonecchia
14,"[{'type': 'source', 'value': '87411264'}, {'type': 'uic', 'value': '87411264'}]",Barentin,[],"{'lat': '49.549123', 'lon': '0.9535169999999999'}",Barentin (Barentin),Europe/Paris,stop_area:SNCF:87411264,"[{'insee': '76057', 'name': 'Barentin', 'level': 8, 'coord': {'lat': '49.5459699', 'lon': '0.9522586'}, 'label': 'Barentin (76360)', 'id': 'admin:fr:76057', 'zip_code': '76360'}]",76057,49.549123,0.9535169999999999,49.5459699,0.9522586,Barentin
15,"[{'type': 'source', 'value': '87732941'}, {'type': 'uic', 'value': '87732941'}]",Barentin Hôpital,[],"{'lat': '49.54213', 'lon': '0.954512'}",Barentin Hôpital (Barentin),Europe/Paris,stop_area:SNCF:87732941,"[{'insee': '76057', 'name': 'Barentin', 'level': 8, 'coord': {'lat': '49.5459699', 'lon': '0.9522586'}, 'label': 'Barentin (76360)', 'id': 'admin:fr:76057', 'zip_code': '76360'}]",76057,49.54213,0.954512,49.5459699,0.9522586,Barentin
16,"[{'type': 'source', 'value': '87732933'}, {'type': 'uic', 'value': '87732933'}]",Barentin Rue Locke,[],"{'lat': '49.547076', 'lon': '0.957979'}",Barentin Rue Locke (Barentin),Europe/Paris,stop_area:SNCF:87732933,"[{'insee': '76057', 'name': 'Barentin', 'level': 8, 'coord': {'lat': '49.5459699', 'lon': '0.9522586'}, 'label': 'Barentin (76360)', 'id': 'admin:fr:76057', 'zip_code': '76360'}]",76057,49.547076,0.957979,49.5459699,0.9522586,Barentin
17,"[{'type': 'source', 'value': '87297291'}, {'type': 'uic', 'value': '87297291'}]",Barenton-Bugny,[],"{'lat': '49.630696', 'lon': '3.655698'}",Barenton-Bugny (Barenton-Bugny),Europe/Paris,stop_area:SNCF:87297291,"[{'insee': '02046', 'name': 'Barenton-Bugny', 'level': 8, 'coord': {'lat': '49.6335', 'lon': '3.6524'}, 'label': 'Barenton-Bugny (02000)', 'id': 'admin:fr:02046', 'zip_code': '02000'}]",02046,49.630696,3.655698,49.6335,3.6524,Barenton-Bugny
18,"[{'type': 'source', 'value': '87332361'}, {'type': 'uic', 'value': '87332361'}]",Barenton-Cel,[],"{'lat': '49.642957', 'lon': '3.653898'}",Barenton-Cel (Barenton-Cel),Europe/Paris,stop_area:SNCF:87332361,"[{'insee': '02047', 'name': 'Barenton-Cel', 'level': 8, 'coord': {'lat': '49.6425', 'lon': '3.6536'}, 'label': 'Barenton-Cel (02000)', 'id': 'admin:fr:02047', 'zip_code': '02000'}]",02047,49.642957,3.653898,49.6425,3.6536,Barenton-Cel
19,"[{'type': 'source', 'value': '87332379'}, {'type': 'uic', 'value': '87332379'}]",Barenton-sur-Serre,[],"{'lat': '49.672222', 'lon': '3.68'}",Barenton-sur-Serre (Barenton-sur-Serre),Europe/Paris,stop_area:SNCF:87332379,"[{'insee': '02048', 'name': 'Barenton-sur-Serre', 'level': 8, 'coord': {'lat': '49.669959', 'lon': '3.6813741'}, 'label': 'Barenton-sur-Serre (02270)', 'id': 'admin:fr:02048', 'zip_code': '02270'}]",02048,49.672222,3.68,49.669959,3.6813741,Barenton-sur-Serre
20,"[{'type': 'source', 'value': '87141754'}, {'type': 'uic', 'value': '87141754'}]",Barisey-la-Côte Gare,[],"{'lat': '48.535008', 'lon': '5.83992'}",Barisey-la-Côte Gare (Barisey-au-Plain),Europe/Paris,stop_area:SNCF:87141754,"[{'insee': '54046', 'name': 'Barisey-au-Plain', 'level': 8, 'coord': {'lat': '48.5249105', 'lon': '5.8423251'}, 'label': 'Barisey-au-Plain (54170)', 'id': 'admin:fr:54046', 'zip_code': '54170'}]",54046,48.535008,5.83992,48.5249105,5.8423251,Barisey-au-Plain
21,"[{'type': 'source', 'value': '87405712'}, {'type': 'uic', 'value': '87405712'}]",Barisey-la-Côte Mairie,[],"{'lat': '48.544182', 'lon': '5.842809'}",Barisey-la-Côte Mairie (Barisey-la-Côte),Europe/Paris,stop_area:SNCF:87405712,"[{'insee': '54047', 'name': 'Barisey-la-Côte', 'level': 8, 'coord': {'lat': '48.54378089999999', 'lon': '5.843085299999999'}, 'label': 'Barisey-la-Côte (54170)', 'id': 'admin:fr:54047', 'zip_code': '54170'}]",54047,48.544182,5.842809,48.54378089999999,5.843085299999999,Barisey-la-Côte
22,"[{'type': 'source', 'value': '87783563'}, {'type': 'uic', 'value': '87783563'}]",Barjac,[],"{'lat': '44.499264', 'lon': '3.410979'}",Barjac (Barjac),Europe/Paris,stop_area:SNCF:87783563,"[{'insee': '48018', 'name': 'Barjac', 'level': 8, 'coord': {'lat': '44.5037957', 'lon': '3.4113639'}, 'label': 'Barjac (48000)', 'id': 'admin:fr:48018', 'zip_code': '48000'}]",48018,44.499264,3.410979,44.5037957,3.4113639,Barjac
23,"[{'type': 'source', 'value': '87192658'}, {'type': 'uic', 'value': '87192658'}]",Baroncourt,[],"{'lat': '49.284534', 'lon': '5.699708'}",Baroncourt (Dommary-Baroncourt),Europe/Paris,stop_area:SNCF:87192658,"[{'insee': '55158', 'name': 'Dommary-Baroncourt', 'level': 8, 'coord': {'lat': '49.28545', 'lon': '5.702199999999999'}, 'label': 'Dommary-Baroncourt (55240)', 'id': 'admin:fr:55158', 'zip_code': '55240'}]",55158,49.284534,5.699708,49.28545,5.702199999999999,Dommary-Baroncourt
24,"[{'type': 'source', 'value': '87193110'}, {'type': 'uic', 'value': '87193110'}]",Baronville Mairie,[],"{'lat': '48.934734', 'lon': '6.60836'}",Baronville Mairie (Baronville),Europe/Paris,stop_area:SNCF:87193110,"[{'insee': '57051', 'name': 'Baronville', 'level': 8, 'coord': {'lat': '48.9346912', 'lon': '6.6092455'}, 'label': 'Baronville (57340)', 'id': 'admin:fr:57051', 'zip_code': '57340'}]",57051,48.934734,6.60836,48.9346912,6.6092455,Baronville
0,"[{'type': 'source', 'value': '87214247'}, {'type': 'uic', 'value': '87214247'}]",Barr,[],"{'lat': '48.40348', 'lon': '7.456713'}",Barr (Barr),Europe/Paris,stop_area:SNCF:87214247,"[{'insee': '67021', 'name': 'Barr', 'level': 8, 'coord': {'lat': '48.4088704', 'lon': '7.4492808'}, 'label': 'Barr (67140)', 'id': 'admin:fr:67021', 'zip_code': '67140'}]",67021,48.40348,7.456713,48.4088704,7.4492808,Barr
1,"[{'type': 'source', 'value': '87582759'}, {'type': 'uic', 'value': '87582759'}]",Barsac,[],"{'lat': '44.605431', 'lon': '-0.321578'}",Barsac (Barsac),Europe/Paris,stop_area:SNCF:87582759,"[{'insee': '33030', 'name': 'Barsac', 'level': 8, 'coord': {'lat': '44.6043291', 'lon': '-0.323435'}, 'label': 'Barsac (33720)', 'id': 'admin:fr:33030', 'zip_code': '33720'}]",33030,44.605431,-0.321578,44.6043291,-0.323435,Barsac
