,h_depart,h_arrive,station_orig,station_orig_lat,station_orig_lon,duration,nb_transfers,station_dest,station_dest_lat,station_dest_lon,waiting_time,total_time,depart,arrival
Aigle,2022-12-20 16:14:00,2022-12-20 21:42:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,19680,1,Aigle,46.31685,6.96367,3493,23173,Paris,Aigle
Aachen,2022-12-20 15:54:30,2022-12-20 18:34:00,Paris Gare du Nord,48.880136,2.354851,9570,0,Aix la Chapelle,50.7675,6.0912,2323,11893,Paris,Aix la Chapelle
Allaman,2022-12-20 16:14:00,2022-12-20 20:18:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,14640,1,Allaman,46.47575,6.3997,3493,18133,Paris,Allaman
Amsterdam,2022-12-20 16:24:30,2022-12-20 19:44:00,Paris Gare du Nord,48.880136,2.354851,11970,0,Amsterdam Centraal,52.37908,4.900632,4123,16093,Paris,Amsterdam Centraal
Antwerpen,2022-12-20 16:24:30,2022-12-20 18:27:00,Paris Gare du Nord,48.880136,2.354851,7350,0,Antwerpen Centraal,51.216,4.421,4123,11473,Paris,Antwerpen Centraal
Appenweier,2022-12-20 15:21:00,2022-12-20 17:45:00,Paris Est,48.876742,2.358424,8640,1,Appenweier,48.5419,7.9735,313,8953,Paris,Appenweier
Augsburg,2022-12-20 15:55:00,2022-12-20 21:04:00,Paris Est,48.876742,2.358424,18540,0,Augsburg Hbf,48.3654,10.886,2353,20893,Paris,Augsburg Hbf
Baden-Baden,2022-12-21 10:55:00,2022-12-21 14:22:00,Paris Est,48.876742,2.358424,12420,1,Baden-Baden,48.7903,8.190899999999999,70753,83173,Paris,Baden-Baden
Basel,2022-12-20 16:19:00,2022-12-20 19:26:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,11220,0,Basel SBB,47.5474,7.58956,3793,15013,Paris,Basel SBB
Käerjeng,2022-12-20 15:24:00,2022-12-20 18:50:00,Paris Est,48.876742,2.358424,12360,2,Bascharage secteur Sanem,49.5585,5.9249,493,12853,Paris,Bascharage secteur Sanem
Haute-Sorne,2022-12-20 16:19:00,2022-12-20 19:55:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,12960,1,Glovelier,47.3352,7.20931,3793,16753,Paris,Glovelier
Berg (Pfalz),2022-12-20 15:21:00,2022-12-20 19:22:00,Paris Est,48.876742,2.358424,14460,2,Berg (Pfalz),48.9807,8.2128,313,14773,Paris,Berg (Pfalz)
Bettembourg,2022-12-20 15:24:00,2022-12-20 18:04:00,Paris Est,48.876742,2.358424,9600,1,Bettembourg,49.516111,6.101111,493,10093,Paris,Bettembourg
Bex,2022-12-20 16:14:00,2022-12-20 21:48:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,20040,1,Bex,46.25146,7.00067,3493,23533,Paris,Bex
