,h_depart,h_arrive,station_orig,station_orig_lat,station_orig_lon,duration,nb_transfers,station_dest,station_dest_lat,station_dest_lon,waiting_time,total_time,depart,arrival
Aigle,2023-01-03 16:14:00,2023-01-03 21:42:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,19680,1,Aigle,46.31685,6.96367,703,20383,Paris,Aigle
Aachen,2023-01-03 17:54:30,2023-01-03 20:35:00,Paris Gare du Nord,48.880136,2.354851,9630,0,Aix la Chapelle,50.7675,6.0912,6733,16363,Paris,Aix la Chapelle
Allaman,2023-01-03 16:14:00,2023-01-03 20:18:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,14640,1,Allaman,46.47575,6.3997,703,15343,Paris,Allaman
Amsterdam,2023-01-03 16:24:30,2023-01-03 19:44:00,Paris Gare du Nord,48.880136,2.354851,11970,0,Amsterdam Centraal,52.37908,4.900632,1333,13303,Paris,Amsterdam Centraal
Antwerpen,2023-01-03 16:24:30,2023-01-03 18:27:00,Paris Gare du Nord,48.880136,2.354851,7350,0,Antwerpen Centraal,51.216,4.421,1333,8683,Paris,Antwerpen Centraal
Appenweier,2023-01-03 17:25:00,2023-01-03 19:45:00,Paris Est,48.876742,2.358424,8400,1,Appenweier,48.5419,7.9735,4963,13363,Paris,Appenweier
Baden-Baden,2023-01-04 10:55:00,2023-01-04 14:22:00,Paris Est,48.876742,2.358424,12420,1,Baden-Baden,48.7903,8.190899999999999,67963,80383,Paris,Baden-Baden
Basel,2023-01-03 16:19:00,2023-01-03 19:26:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,11220,0,Basel SBB,47.5474,7.58956,1003,12223,Paris,Basel SBB
Käerjeng,2023-01-03 16:15:30,2023-01-03 19:20:00,Paris Est,48.876742,2.358424,11070,2,Bascharage secteur Sanem,49.5585,5.9249,793,11863,Paris,Bascharage secteur Sanem
Haute-Sorne,2023-01-03 16:19:00,2023-01-03 19:55:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,12960,1,Glovelier,47.3352,7.20931,1003,13963,Paris,Glovelier
Berg (Pfalz),2023-01-03 17:25:00,2023-01-03 20:39:00,Paris Est,48.876742,2.358424,11640,2,Berg (Pfalz),48.9807,8.2128,4963,16603,Paris,Berg (Pfalz)
Bettembourg,2023-01-03 16:15:30,2023-01-03 18:40:00,Paris Est,48.876742,2.358424,8670,1,Bettembourg,49.516111,6.101111,793,9463,Paris,Bettembourg
Bex,2023-01-03 16:14:00,2023-01-03 21:48:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,20040,1,Bex,46.25146,7.00067,703,20743,Paris,Bex
Biel/Bienne,2023-01-03 16:19:00,2023-01-03 20:41:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,15720,1,Biel/Bienne,47.13289,7.24292,1003,16723,Paris,Biel/Bienne
Boncourt,2023-01-03 16:19:00,2023-01-03 19:23:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,11040,1,Boncourt,47.49263,7.01656,1003,12043,Paris,Boncourt
Saint-Gilles - Sint-Gillis,2023-01-03 16:24:30,2023-01-03 17:47:00,Paris Gare du Nord,48.880136,2.354851,4950,0,Bruxelles Midi,50.836,4.336,1333,6283,Paris,Bruxelles Midi
Basse-Allaine,2023-01-03 16:19:00,2023-01-03 19:25:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,11160,1,Buix,47.47933,7.02998,1003,12163,Paris,Buix
Pregny-Chambésy,2023-01-03 16:14:00,2023-01-03 19:50:00,Paris Gare de Lyon Hall 1 &2,48.844945,2.373481,12960,1,Chambésy,46.242378,6.147342,703,13663,Paris,Chambésy
Charleroi,2023-01-03 17:19:00,2023-01-03 20:48:00,Paris Gare du Nord,48.880136,2.354851,12540,1,Charleroi-Central,50.404393,4.438504,4603,17143,Paris,Charleroi Sud
