,h_depart,h_arrive,station_orig,station_orig_lat,station_orig_lon,duration,nb_transfers,station_dest,station_dest_lat,station_dest_lon,waiting_time,total_time,depart,arrival
Aachen,2023-01-05 05:58:00,2023-01-05 12:35:00,Bordeaux Saint-Jean,44.825873,-0.556697,23820,2,Aix la Chapelle,50.7675,6.0912,58548,82368,Bordeaux,Aix la Chapelle
Appenweier,2023-01-05 08:54:00,2023-01-05 15:15:00,Bordeaux Saint-Jean,44.825873,-0.556697,22860,1,Appenweier,48.5419,7.9735,69108,91968,Bordeaux,Appenweier
Basel,2023-01-05 08:54:00,2023-01-05 16:08:00,Bordeaux Saint-Jean,44.825873,-0.556697,26040,1,Basel SBB,47.5474,7.58956,69108,95148,Bordeaux,Basel SBB
Barcelona,2023-01-04 15:18:30,2023-01-04 21:25:00,Bordeaux Saint-Jean,44.825873,-0.556697,21990,2,Barcelone-Sants,41.378961,2.139834,5778,27768,Bordeaux,Barcelone-Sants
Käerjeng,2023-01-05 08:54:00,2023-01-05 16:20:00,Bordeaux Saint-Jean,44.825873,-0.556697,26760,3,Bascharage secteur Sanem,49.5585,5.9249,69108,95868,Bordeaux,Bascharage secteur Sanem
Berg (Pfalz),2023-01-05 08:54:00,2023-01-05 16:35:00,Bordeaux Saint-Jean,44.825873,-0.556697,27660,2,Berg (Pfalz),48.9807,8.2128,69108,96768,Bordeaux,Berg (Pfalz)
Bettembourg,2023-01-05 07:45:00,2023-01-05 14:10:00,Bordeaux Saint-Jean,44.825873,-0.556697,23100,3,Bettembourg,49.516111,6.101111,64968,88068,Bordeaux,Bettembourg
Saint-Gilles - Sint-Gillis,2023-01-04 17:08:00,2023-01-04 22:17:00,Bordeaux Saint-Jean,44.825873,-0.556697,18540,2,Bruxelles Midi,50.836,4.336,12348,30888,Bordeaux,Bruxelles Midi
Charleroi,2023-01-05 08:54:00,2023-01-05 16:38:00,Bordeaux Saint-Jean,44.825873,-0.556697,27840,3,Charleroi-Central,50.404393,4.438504,69108,96948,Bordeaux,Charleroi Sud
Köln,2023-01-05 05:58:00,2023-01-05 14:18:00,Bordeaux Saint-Jean,44.825873,-0.556697,30000,2,Cologne,50.9428,6.9591,58548,88548,Bordeaux,Cologne
Kortrijk,2023-01-05 05:58:00,2023-01-05 11:45:30,Bordeaux Saint-Jean,44.825873,-0.556697,20850,1,Courtrai,50.824,3.26,58548,79398,Bordeaux,Courtrai
Dippach,2023-01-05 08:54:00,2023-01-05 16:14:00,Bordeaux Saint-Jean,44.825873,-0.556697,26400,3,Dippach secteur Reckange,49.57252,5.99512,69108,95508,Bordeaux,Dippach secteur Reckange
Edenkoben,2023-01-05 07:45:00,2023-01-05 15:13:00,Bordeaux Saint-Jean,44.825873,-0.556697,26880,3,Edenkoben,49.28185,8.140549999999999,64968,91848,Bordeaux,Edenkoben
Vilafant,2023-01-04 15:18:30,2023-01-04 20:27:00,Bordeaux Saint-Jean,44.825873,-0.556697,18510,2,FIGUERES-VILAFANT,42.264581,2.943028,5778,24288,Bordeaux,FIGUERES-VILAFANT
Frankfurt am Main,2023-01-05 07:45:00,2023-01-05 15:59:00,Bordeaux Saint-Jean,44.825873,-0.556697,29640,2,Francfort sur le Main,50.1073,8.6624,64968,94608,Bordeaux,Francfort sur le Main
Tournai,2023-01-05 05:58:00,2023-01-05 12:32:00,Bordeaux Saint-Jean,44.825873,-0.556697,23640,1,FROYENNES,50.629,3.355,58548,82188,Bordeaux,FROYENNES
Genève,2023-01-04 17:08:00,2023-01-04 23:30:00,Bordeaux Saint-Jean,44.825873,-0.556697,22920,3,Genève,46.21022,6.14244,12348,35268,Bordeaux,Genève
Girona,2023-01-04 15:18:30,2023-01-04 20:44:00,Bordeaux Saint-Jean,44.825873,-0.556697,19530,2,GIRONA,41.979371,2.816957,5778,25308,Bordeaux,GIRONA
Hagenbach,2023-01-05 08:54:00,2023-01-05 16:48:00,Bordeaux Saint-Jean,44.825873,-0.556697,28440,2,Hagenbach,49.016,8.253,69108,97548,Bordeaux,Hagenbach
Hesperange,2023-01-05 07:45:00,2023-01-05 14:17:00,Bordeaux Saint-Jean,44.825873,-0.556697,23520,3,Howald,49.58032,6.13232,64968,88488,Bordeaux,Howald
Karlsruhe,2023-01-05 07:45:00,2023-01-05 14:46:00,Bordeaux Saint-Jean,44.825873,-0.556697,25260,2,Karlsruhe Hbf,48.9935,8.401899999999999,64968,90228,Bordeaux,Karlsruhe Hbf
Kehl,2023-01-05 08:54:00,2023-01-05 15:01:00,Bordeaux Saint-Jean,44.825873,-0.556697,22020,1,Kehl,48.5767,7.8063,69108,91128,Bordeaux,Kehl
Landau in der Pfalz,2023-01-05 07:45:00,2023-01-05 15:02:00,Bordeaux Saint-Jean,44.825873,-0.556697,26220,3,Landau (Pfalz) Hbf,49.1982,8.125999999999999,64968,91188,Bordeaux,Landau (Pfalz) Hbf
Lausanne,2023-01-05 05:58:00,2023-01-05 15:37:00,Bordeaux Saint-Jean,44.825873,-0.556697,34740,2,Lausanne,46.51679,6.62909,58548,93288,Bordeaux,Lausanne
Willstätt,2023-01-05 08:54:00,2023-01-05 15:11:00,Bordeaux Saint-Jean,44.825873,-0.556697,22620,1,Legelshurst,48.5585,7.9138,69108,91728,Bordeaux,Legelshurst
Liège,2023-01-05 05:58:00,2023-01-05 12:09:00,Bordeaux Saint-Jean,44.825873,-0.556697,22260,2,Liege-Guil,50.622,5.568,58548,80808,Bordeaux,Liege-Guil
Camden Town,2023-01-04 17:08:00,2023-01-04 22:30:00,Bordeaux Saint-Jean,44.825873,-0.556697,19320,2,Londres Saint Pancras,51.5338,-0.12807,12348,31668,Bordeaux,Londres Saint Pancras
Luxembourg,2023-01-05 07:45:00,2023-01-05 14:15:00,Bordeaux Saint-Jean,44.825873,-0.556697,23400,3,Luxembourg,49.599722,6.134722,64968,88368,Bordeaux,Luxembourg
Mannheim,2023-01-05 07:45:00,2023-01-05 15:18:00,Bordeaux Saint-Jean,44.825873,-0.556697,27180,2,Mannheim Hbf,49.4794,8.4696,64968,92148,Bordeaux,Mannheim Hbf
Meyrin,2023-01-05 05:58:00,2023-01-05 16:09:00,Bordeaux Saint-Jean,44.825873,-0.556697,36660,3,Meyrin,46.22235,6.0769,58548,95208,Bordeaux,Meyrin
Monaco,2023-01-04 17:08:00,2023-01-05 09:41:00,Bordeaux Saint-Jean,44.825873,-0.556697,59580,3,Monaco-Monte-Carlo,43.738414,7.419747,12348,71928,Bordeaux,Monaco-Monte-Carlo
Mouscron,2023-01-05 05:58:00,2023-01-05 11:29:30,Bordeaux Saint-Jean,44.825873,-0.556697,19890,1,Mouscron,50.738,3.225,58548,78438,Bordeaux,Mouscron
Neuburg am Rhein,2023-01-05 08:54:00,2023-01-05 16:42:00,Bordeaux Saint-Jean,44.825873,-0.556697,28080,2,Neuburg (Rhein),48.9921,8.238099999999999,69108,97188,Bordeaux,Neuburg (Rhein)
Neuchâtel,2023-01-05 05:58:00,2023-01-05 15:53:30,Bordeaux Saint-Jean,44.825873,-0.556697,35730,3,Neuchatel,46.99673,6.93571,58548,94278,Bordeaux,Neuchatel
Neustadt an der Weinstra_e,2023-01-05 07:45:00,2023-01-05 15:20:00,Bordeaux Saint-Jean,44.825873,-0.556697,27300,3,Neustadt (Weinstraße) Süd,49.341274,8.157026999999999,64968,92268,Bordeaux,Neustadt (Weinstra_e) Süd
Offenburg,2023-01-05 08:54:00,2023-01-05 15:22:00,Bordeaux Saint-Jean,44.825873,-0.556697,23280,1,Offenburg,48.4765,7.9468,69108,92388,Bordeaux,Offenburg
Oulx,2023-01-05 05:58:00,2023-01-05 14:23:00,Bordeaux Saint-Jean,44.825873,-0.556697,30300,3,OULX CESANA CLAVIERE SESTRIERE,45.038795,6.831431,58548,88848,Bordeaux,OULX CESANA CLAVIERE SESTRIERE
Pétange,2023-01-05 08:54:00,2023-01-05 16:24:00,Bordeaux Saint-Jean,44.825873,-0.556697,27000,3,Petange,49.55419,5.8786,69108,96108,Bordeaux,Petange
Portbou,2023-01-04 14:28:00,2023-01-04 19:47:00,Bordeaux Saint-Jean,44.825873,-0.556697,19140,1,Portbou,42.424701,3.158034,2748,21888,Bordeaux,Portbou
Russin,2023-01-05 05:58:00,2023-01-05 16:17:00,Bordeaux Saint-Jean,44.825873,-0.556697,37140,3,Russin,46.187771,6.017553,58548,95688,Bordeaux,Russin
Saarbrücken,2023-01-05 08:54:00,2023-01-05 15:42:00,Bordeaux Saint-Jean,44.825873,-0.556697,24480,3,Sarrebruck,49.241,6.991,69108,93588,Bordeaux,Sarrebruck
Satigny,2023-01-05 05:58:00,2023-01-05 16:14:00,Bordeaux Saint-Jean,44.825873,-0.556697,36960,3,Satigny,46.21424,6.03749,58548,95508,Bordeaux,Satigny
Stuttgart,2023-01-05 08:54:00,2023-01-05 17:04:00,Bordeaux Saint-Jean,44.825873,-0.556697,29400,1,Stuttgart Hbf,48.7846,9.1837,69108,98508,Bordeaux,Stuttgart Hbf
Val-de-Travers,2023-01-05 05:58:00,2023-01-05 15:28:00,Bordeaux Saint-Jean,44.825873,-0.556697,34200,3,Travers,46.94241,6.67657,58548,92748,Bordeaux,Travers
Torino,2023-01-05 05:58:00,2023-01-05 15:23:00,Bordeaux Saint-Jean,44.825873,-0.556697,33900,3,Turin Porta Susa,45.074118,7.666675,58548,92448,Bordeaux,Turin Porta Susa
Vallorbe,2023-01-05 07:45:00,2023-01-05 14:57:30,Bordeaux Saint-Jean,44.825873,-0.556697,25950,3,Vallorbe,46.71242,6.37057,64968,90918,Bordeaux,Vallorbe
Ventimiglia,2023-01-04 17:08:00,2023-01-05 10:12:00,Bordeaux Saint-Jean,44.825873,-0.556697,61440,3,VENTIMIGLIA,43.792569,7.610233,12348,73788,Bordeaux,VENTIMIGLIA
Vernier,2023-01-05 05:58:00,2023-01-05 16:06:00,Bordeaux Saint-Jean,44.825873,-0.556697,36480,3,Vernier,46.22071,6.093892,58548,95028,Bordeaux,Vernier
Winden,2023-01-05 07:45:00,2023-01-05 14:52:00,Bordeaux Saint-Jean,44.825873,-0.556697,25620,3,Winden (Pfalz),49.0954,8.122400000000001,64968,90588,Bordeaux,Winden (Pfalz)
Zürich,2023-01-05 05:58:00,2023-01-05 14:26:00,Bordeaux Saint-Jean,44.825873,-0.556697,30480,2,Zuerich HB,47.37817,8.540190000000001,58548,89028,Bordeaux,Zuerich HB
Nîmes,2023-01-04 14:28:00,2023-01-04 19:22:30,Bordeaux Saint-Jean,44.825873,-0.556697,17670,0,Nîmes Centre,43.832313,4.365872,2748,20418,Bordeaux,Nîmes
Avignon,2023-01-04 14:28:00,2023-01-04 20:28:00,Bordeaux Saint-Jean,44.825873,-0.556697,21600,1,Avignon Centre,43.941923,4.805269,2748,24348,Bordeaux,Avignon
Toulon,2023-01-04 14:28:00,2023-01-04 22:11:00,Bordeaux Saint-Jean,44.825873,-0.556697,27780,1,Toulon,43.128353,5.929404,2748,30528,Bordeaux,Toulon
Bourg-en-Bresse,2023-01-04 17:08:00,2023-01-04 22:09:00,Bordeaux Saint-Jean,44.825873,-0.556697,18060,3,Bourg-en-Bresse,46.200111,5.215011,12348,30408,Bordeaux,Bourg-en-Bresse
Chalon-sur-Saône,2023-01-04 17:08:00,2023-01-04 23:07:00,Bordeaux Saint-Jean,44.825873,-0.556697,21540,4,Chalon-sur-Saône,46.781622,4.843479,12348,33888,Bordeaux,Chalon-sur-Saône
Besançon,2023-01-04 17:08:00,2023-01-04 22:56:00,Bordeaux Saint-Jean,44.825873,-0.556697,20880,4,Besançon Viotte,47.247049,6.021943,12348,33228,Bordeaux,Besançon
Dijon,2023-01-04 17:08:00,2023-01-04 21:58:00,Bordeaux Saint-Jean,44.825873,-0.556697,17400,3,Dijon,47.323411,5.027256,12348,29748,Bordeaux,Dijon
Paris,2023-01-04 13:46:00,2023-01-04 15:53:00,Bordeaux Saint-Jean,44.825873,-0.556697,7620,0,Paris Montparnasse Hall 1 &2,48.841172,2.320514,228,7848,Bordeaux,Paris
Tarbes,2023-01-04 16:20:00,2023-01-04 19:20:00,Bordeaux Saint-Jean,44.825873,-0.556697,10800,0,Tarbes,43.239863,0.069442,9468,20268,Bordeaux,Tarbes
Cahors,2023-01-04 15:18:30,2023-01-04 17:43:30,Bordeaux Saint-Jean,44.825873,-0.556697,8700,1,Cahors,44.449275,1.433325,5778,14478,Bordeaux,Cahors
Muret,2023-01-04 14:28:00,2023-01-04 17:20:00,Bordeaux Saint-Jean,44.825873,-0.556697,10320,1,Muret,43.464824,1.324449,2748,13068,Bordeaux,Muret
Angoulême,2023-01-04 14:46:00,2023-01-04 15:20:00,Bordeaux Saint-Jean,44.825873,-0.556697,2040,0,Angoulême,45.653572,0.164608,3828,5868,Bordeaux,Angoulême
Angers,2023-01-04 13:46:00,2023-01-04 18:13:30,Bordeaux Saint-Jean,44.825873,-0.556697,16050,1,Angers Saint-Laud,47.464649,-0.55677,228,16278,Bordeaux,Angers
Saint-Nazaire,2023-01-04 13:53:00,2023-01-04 19:18:30,Bordeaux Saint-Jean,44.825873,-0.556697,19530,1,La Croix de Méan,47.300604,-2.192942,648,20178,Bordeaux,Saint-Nazaire
Quimper,2023-01-04 13:46:00,2023-01-04 20:33:00,Bordeaux Saint-Jean,44.825873,-0.556697,24420,1,Quimper,47.994455,-4.092103,228,24648,Bordeaux,Quimper
Brest,2023-01-04 13:46:00,2023-01-04 20:38:00,Bordeaux Saint-Jean,44.825873,-0.556697,24720,1,Brest,48.38762,-4.480306,228,24948,Bordeaux,Brest
Lisieux,2023-01-04 13:46:00,2023-01-04 19:59:30,Bordeaux Saint-Jean,44.825873,-0.556697,22410,3,Lisieux,49.138299,0.231143,228,22638,Bordeaux,Lisieux
Cambrai,2023-01-04 13:46:00,2023-01-04 19:58:30,Bordeaux Saint-Jean,44.825873,-0.556697,22350,5,Cambrai,50.176582,3.241197,228,22578,Bordeaux,Cambrai
Arras,2023-01-04 17:08:00,2023-01-04 21:14:00,Bordeaux Saint-Jean,44.825873,-0.556697,14760,2,Arras,50.286971,2.781314,12348,27108,Bordeaux,Arras
Aix-en-Provence,2023-01-04 13:46:00,2023-01-04 20:41:00,Bordeaux Saint-Jean,44.825873,-0.556697,24900,4,Aix-en-Provence TGV,43.455237,5.317534,228,25128,Bordeaux,Aix-en-Provence
Lille,2023-01-04 17:08:00,2023-01-04 21:40:00,Bordeaux Saint-Jean,44.825873,-0.556697,16320,2,Lille Europe,50.6394,3.075721,12348,28668,Bordeaux,Lille
Compiègne,2023-01-04 17:08:00,2023-01-04 21:25:30,Bordeaux Saint-Jean,44.825873,-0.556697,15450,2,Compiègne,49.421977,2.823693,12348,27798,Bordeaux,Compiègne
Chaumont,2023-01-04 13:46:00,2023-01-04 21:01:00,Bordeaux Saint-Jean,44.825873,-0.556697,26100,6,Chaumont,48.10976,5.1346,228,26328,Bordeaux,Chaumont
Gap,2023-01-04 13:46:00,2023-01-04 22:32:00,Bordeaux Saint-Jean,44.825873,-0.556697,31560,5,Gap,44.563714,6.085669,228,31788,Bordeaux,Gap
Marseille,2023-01-04 14:28:00,2023-01-04 20:36:00,Bordeaux Saint-Jean,44.825873,-0.556697,22080,0,Marseille Saint-Charles,43.302666,5.380407,2748,24828,Bordeaux,Marseille
Grenoble,2023-01-04 15:18:30,2023-01-04 22:30:00,Bordeaux Saint-Jean,44.825873,-0.556697,25890,2,Grenoble,45.191491,5.714548,5778,31668,Bordeaux,Grenoble
Clermont-Ferrand,2023-01-04 13:46:00,2023-01-04 22:34:30,Bordeaux Saint-Jean,44.825873,-0.556697,31710,6,Clermont-Ferrand,45.778945,3.100543,228,31938,Bordeaux,Clermont-Ferrand
Roanne,2023-01-05 05:58:00,2023-01-05 12:04:30,Bordeaux Saint-Jean,44.825873,-0.556697,21990,1,Roanne,46.039383,4.063207,58548,80538,Bordeaux,Roanne
Mâcon,2023-01-04 13:46:00,2023-01-04 19:20:00,Bordeaux Saint-Jean,44.825873,-0.556697,20040,4,Mâcon - Loché TGV,46.282912,4.778924,228,20268,Bordeaux,Mâcon
Lyon,2023-01-04 17:08:00,2023-01-04 21:30:00,Bordeaux Saint-Jean,44.825873,-0.556697,15720,1,Lyon Part Dieu,45.760596,4.859409,12348,28068,Bordeaux,Lyon
Montbard,2023-01-04 14:46:00,2023-01-04 19:54:00,Bordeaux Saint-Jean,44.825873,-0.556697,18480,4,Montbard,47.618741,4.336212,3828,22308,Bordeaux,Montbard
Moulins,2023-01-05 05:58:00,2023-01-05 11:00:00,Bordeaux Saint-Jean,44.825873,-0.556697,18120,1,Moulins sur Allier,46.561394,3.338782,58548,76668,Bordeaux,Moulins
Toulouse,2023-01-04 14:28:00,2023-01-04 16:37:00,Bordeaux Saint-Jean,44.825873,-0.556697,7740,0,Toulouse Matabiau,43.611206,1.453616,2748,10488,Bordeaux,Toulouse
Périgueux,2023-01-04 14:26:00,2023-01-04 15:53:00,Bordeaux Saint-Jean,44.825873,-0.556697,5220,0,Périgueux,45.187408,0.707879,2628,7848,Bordeaux,Périgueux
Limoges,2023-01-04 17:25:00,2023-01-04 20:15:00,Bordeaux Saint-Jean,44.825873,-0.556697,10200,0,Limoges Bénédictins,45.836207,1.267419,13368,23568,Bordeaux,Limoges
Agen,2023-01-04 14:28:00,2023-01-04 15:31:00,Bordeaux Saint-Jean,44.825873,-0.556697,3780,0,Agen,44.207967,0.6208669999999999,2748,6528,Bordeaux,Agen
Arcachon,2023-01-04 14:04:00,2023-01-04 14:55:00,Bordeaux Saint-Jean,44.825873,-0.556697,3060,0,Arcachon,44.658967,-1.165323,1308,4368,Bordeaux,Arcachon
Bourges,2023-01-04 16:57:30,2023-01-04 21:14:00,Bordeaux Saint-Jean,44.825873,-0.556697,15390,1,Bourges,47.094129,2.394236,11718,27108,Bordeaux,Bourges
Châtellerault,2023-01-04 16:19:00,2023-01-04 18:25:00,Bordeaux Saint-Jean,44.825873,-0.556697,7560,0,Châtellerault,46.818594,0.549279,9408,16968,Bordeaux,Châtellerault
Tours,2023-01-04 13:46:00,2023-01-04 17:43:00,Bordeaux Saint-Jean,44.825873,-0.556697,14220,1,Tours,47.389866,0.692831,228,14448,Bordeaux,Tours
Laval,2023-01-04 14:46:00,2023-01-04 18:43:30,Bordeaux Saint-Jean,44.825873,-0.556697,14250,1,Laval,48.076255,-0.760929,3828,18078,Bordeaux,Laval
Morlaix,2023-01-04 13:46:00,2023-01-04 20:02:30,Bordeaux Saint-Jean,44.825873,-0.556697,22590,1,Morlaix,48.57797,-3.832514,228,22818,Bordeaux,Morlaix
Alençon,2023-01-04 14:46:00,2023-01-04 19:15:00,Bordeaux Saint-Jean,44.825873,-0.556697,16140,2,Alençon,48.433884,0.09853099999999999,3828,19968,Bordeaux,Alençon
Bayeux,2023-01-04 13:46:00,2023-01-04 20:23:30,Bordeaux Saint-Jean,44.825873,-0.556697,23850,4,Bayeux,49.269729,-0.6981000000000001,228,24078,Bordeaux,Bayeux
Rouen,2023-01-04 13:46:00,2023-01-04 19:00:30,Bordeaux Saint-Jean,44.825873,-0.556697,18870,4,Rouen Rive Droite,49.448663,1.094103,228,19098,Bordeaux,Rouen
Dreux,2023-01-04 14:46:00,2023-01-04 18:39:00,Bordeaux Saint-Jean,44.825873,-0.556697,13980,1,Dreux,48.731492,1.370164,3828,17808,Bordeaux,Dreux
