,h_depart,h_arrive,station_orig,station_orig_lat,station_orig_lon,duration,nb_transfers,station_dest,station_dest_lat,station_dest_lon,waiting_time,total_time,depart,arrival
Aigle,2023-01-06 06:38:00,2023-01-06 10:42:00,Lyon Part Dieu,45.760596,4.859409,14640,1,Aigle,46.31685,6.96367,37552,52192,Lyon,Aigle
Aachen,2023-01-06 05:50:00,2023-01-06 12:35:00,Lyon Part Dieu,45.760596,4.859409,24300,1,Aix la Chapelle,50.7675,6.0912,34672,58972,Lyon,Aix la Chapelle
Allaman,2023-01-06 06:38:00,2023-01-06 09:18:00,Lyon Part Dieu,45.760596,4.859409,9600,1,Allaman,46.47575,6.3997,37552,47152,Lyon,Allaman
Amsterdam,2023-01-06 05:50:00,2023-01-06 11:44:00,Lyon Part Dieu,45.760596,4.859409,21240,1,Amsterdam Centraal,52.37908,4.900632,34672,55912,Lyon,Amsterdam Centraal
Antwerpen,2023-01-06 05:50:00,2023-01-06 10:27:00,Lyon Part Dieu,45.760596,4.859409,16620,1,Antwerpen Centraal,51.216,4.421,34672,51292,Lyon,Antwerpen Centraal
Appenweier,2023-01-06 08:34:00,2023-01-06 13:15:00,Lyon Part Dieu,45.760596,4.859409,16860,1,Appenweier,48.5419,7.9735,44512,61372,Lyon,Appenweier
Baden-Baden,2023-01-06 10:04:00,2023-01-06 14:22:00,Lyon Part Dieu,45.760596,4.859409,15480,0,Baden-Baden,48.7903,8.190899999999999,49912,65392,Lyon,Baden-Baden
Basel,2023-01-06 10:04:00,2023-01-06 13:26:00,Lyon Part Dieu,45.760596,4.859409,12120,1,Basel SBB,47.5474,7.58956,49912,62032,Lyon,Basel SBB
Barcelona,2023-01-06 11:09:30,2023-01-06 16:34:00,Lyon Part Dieu,45.760596,4.859409,19470,1,Barcelone-Sants,41.378961,2.139834,53842,73312,Lyon,Barcelone-Sants
Käerjeng,2023-01-06 08:34:00,2023-01-06 16:20:00,Lyon Part Dieu,45.760596,4.859409,27960,1,Bascharage secteur Sanem,49.5585,5.9249,44512,72472,Lyon,Bascharage secteur Sanem
Haute-Sorne,2023-01-06 08:34:00,2023-01-06 11:55:00,Lyon Part Dieu,45.760596,4.859409,12060,1,Glovelier,47.3352,7.20931,44512,56572,Lyon,Glovelier
Berg (Pfalz),2023-01-06 10:04:00,2023-01-06 16:35:00,Lyon Part Dieu,45.760596,4.859409,23460,2,Berg (Pfalz),48.9807,8.2128,49912,73372,Lyon,Berg (Pfalz)
Bettembourg,2023-01-06 08:34:00,2023-01-06 14:10:00,Lyon Part Dieu,45.760596,4.859409,20160,1,Bettembourg,49.516111,6.101111,44512,64672,Lyon,Bettembourg
Bex,2023-01-06 06:38:00,2023-01-06 10:48:00,Lyon Part Dieu,45.760596,4.859409,15000,1,Bex,46.25146,7.00067,37552,52552,Lyon,Bex
Biel/Bienne,2023-01-06 08:34:00,2023-01-06 12:41:00,Lyon Part Dieu,45.760596,4.859409,14820,1,Biel/Bienne,47.13289,7.24292,44512,59332,Lyon,Biel/Bienne
Boncourt,2023-01-06 08:34:00,2023-01-06 11:23:00,Lyon Part Dieu,45.760596,4.859409,10140,1,Boncourt,47.49263,7.01656,44512,54652,Lyon,Boncourt
Saint-Gilles - Sint-Gillis,2023-01-06 05:50:00,2023-01-06 09:43:00,Lyon Part Dieu,45.760596,4.859409,13980,0,Bruxelles Midi,50.836,4.336,34672,48652,Lyon,Bruxelles Midi
Basse-Allaine,2023-01-06 08:34:00,2023-01-06 11:25:00,Lyon Part Dieu,45.760596,4.859409,10260,1,Buix,47.47933,7.02998,44512,54772,Lyon,Buix
Pregny-Chambésy,2023-01-05 20:38:00,2023-01-05 23:05:00,Lyon Part Dieu,45.760596,4.859409,8820,1,Chambésy,46.242378,6.147342,1552,10372,Lyon,Chambésy
Charleroi,2023-01-06 09:03:30,2023-01-06 16:38:00,Lyon Perrache,45.748508,4.825777,27270,2,Charleroi-Central,50.404393,4.438504,46282,73552,Lyon,Charleroi Sud
Chêne-Bourg,2023-01-05 20:38:00,2023-01-05 23:05:00,Lyon Part Dieu,45.760596,4.859409,8820,1,Chêne-Bourg,46.196607,6.197253,1552,10372,Lyon,Chêne-Bourg
Köln,2023-01-06 05:50:00,2023-01-06 14:18:00,Lyon Part Dieu,45.760596,4.859409,30480,1,Cologne,50.9428,6.9591,34672,65152,Lyon,Cologne
Coppet,2023-01-05 20:38:00,2023-01-05 23:26:00,Lyon Part Dieu,45.760596,4.859409,10080,1,Coppet,46.317378,6.187829,1552,11632,Lyon,Coppet
Courchavon,2023-01-06 08:34:00,2023-01-06 11:33:00,Lyon Part Dieu,45.760596,4.859409,10740,1,Courchavon,47.43977,7.05765,44512,55252,Lyon,Courchavon
Courgenay,2023-01-06 08:34:00,2023-01-06 11:44:00,Lyon Part Dieu,45.760596,4.859409,11400,1,Courgenay,47.40522,7.12421,44512,55912,Lyon,Courgenay
Courtételle,2023-01-06 08:34:00,2023-01-06 12:05:00,Lyon Part Dieu,45.760596,4.859409,12660,1,Courtételle,47.34282,7.31794,44512,57172,Lyon,Courtételle
Kortrijk,2023-01-06 09:03:30,2023-01-06 13:45:00,Lyon Perrache,45.748508,4.825777,16890,1,Courtrai,50.824,3.26,46282,63172,Lyon,Courtrai
Genthod,2023-01-05 20:38:00,2023-01-05 23:10:00,Lyon Part Dieu,45.760596,4.859409,9120,1,Genthod-Bellevue,46.256728,6.153962,1552,10672,Lyon,Genthod-Bellevue
Delémont,2023-01-06 08:34:00,2023-01-06 12:09:00,Lyon Part Dieu,45.760596,4.859409,12900,1,Delemont,47.362,7.35007,44512,57412,Lyon,Delemont
Dippach,2023-01-06 08:34:00,2023-01-06 16:14:00,Lyon Part Dieu,45.760596,4.859409,27600,1,Dippach secteur Reckange,49.57252,5.99512,44512,72112,Lyon,Dippach secteur Reckange
Edenkoben,2023-01-06 08:34:00,2023-01-06 15:13:00,Lyon Part Dieu,45.760596,4.859409,23940,2,Edenkoben,49.28185,8.140549999999999,44512,68452,Lyon,Edenkoben
Vilafant,2023-01-06 11:09:30,2023-01-06 15:27:00,Lyon Part Dieu,45.760596,4.859409,15450,1,FIGUERES-VILAFANT,42.264581,2.943028,53842,69292,Lyon,FIGUERES-VILAFANT
Frankfurt am Main,2023-01-06 10:04:00,2023-01-06 15:59:00,Lyon Part Dieu,45.760596,4.859409,21300,0,Francfort sur le Main,50.1073,8.6624,49912,71212,Lyon,Francfort sur le Main
Freiburg im Breisgau,2023-01-06 10:04:00,2023-01-06 16:27:00,Lyon Part Dieu,45.760596,4.859409,22980,1,Freiburg (Breisgau) Hbf,47.9979,7.8416,49912,72892,Lyon,Freiburg (Breisgau) Hbf
Tournai,2023-01-06 09:03:30,2023-01-06 13:31:00,Lyon Perrache,45.748508,4.825777,16050,1,FROYENNES,50.629,3.355,46282,62332,Lyon,FROYENNES
Genève,2023-01-05 20:38:00,2023-01-05 22:34:00,Lyon Part Dieu,45.760596,4.859409,6960,0,Genève,46.21022,6.14244,1552,8512,Lyon,Genève
Girona,2023-01-06 11:09:30,2023-01-06 15:46:00,Lyon Part Dieu,45.760596,4.859409,16590,1,GIRONA,41.979371,2.816957,53842,70432,Lyon,GIRONA
Gland,2023-01-06 06:38:00,2023-01-06 09:09:00,Lyon Part Dieu,45.760596,4.859409,9060,1,Gland,46.419995,6.269138,37552,46612,Lyon,Gland
Grenchen,2023-01-06 08:34:00,2023-01-06 12:29:00,Lyon Part Dieu,45.760596,4.859409,14100,1,Grenchen Nord,47.1918,7.38947,44512,58612,Lyon,Grenchen Nord
Hagenbach,2023-01-06 10:04:00,2023-01-06 16:48:00,Lyon Part Dieu,45.760596,4.859409,24240,2,Hagenbach,49.016,8.253,49912,74152,Lyon,Hagenbach
Hesperange,2023-01-06 08:34:00,2023-01-06 14:17:00,Lyon Part Dieu,45.760596,4.859409,20580,1,Howald,49.58032,6.13232,44512,65092,Lyon,Howald
Kaiserslautern,2023-01-06 10:04:00,2023-01-06 19:35:00,Lyon Part Dieu,45.760596,4.859409,34260,2,Kaiserslautern Hbf,49.4359,7.7688,49912,84172,Lyon,Kaiserslautern Hbf
Karlsruhe,2023-01-06 10:04:00,2023-01-06 14:46:00,Lyon Part Dieu,45.760596,4.859409,16920,0,Karlsruhe Hbf,48.9935,8.401899999999999,49912,66832,Lyon,Karlsruhe Hbf
Kehl,2023-01-06 08:34:00,2023-01-06 13:01:00,Lyon Part Dieu,45.760596,4.859409,16020,1,Kehl,48.5767,7.8063,44512,60532,Lyon,Kehl
La Chaux-de-Fonds,2023-01-06 06:18:00,2023-01-06 11:17:00,Lyon Part Dieu,45.760596,4.859409,17940,2,Le Crêt-du-Locle,47.0776,6.78519,36352,54292,Lyon,Le Crêt-du-Locle
Lahr/Schwarzwald,2023-01-06 10:04:00,2023-01-06 15:21:00,Lyon Part Dieu,45.760596,4.859409,19020,1,Lahr (Schwarzw),48.3406,7.8353,49912,68932,Lyon,Lahr (Schwarzw)
Lancy,2023-01-05 20:38:00,2023-01-05 22:53:00,Lyon Part Dieu,45.760596,4.859409,8100,1,Lancy-Pont-Rouge,46.188897,6.125333,1552,9652,Lyon,Lancy-Pont-Rouge
Landau in der Pfalz,2023-01-06 08:34:00,2023-01-06 15:02:00,Lyon Part Dieu,45.760596,4.859409,23280,2,Landau (Pfalz) Hbf,49.1982,8.125999999999999,44512,67792,Lyon,Landau (Pfalz) Hbf
Lausanne,2023-01-06 06:38:00,2023-01-06 09:38:00,Lyon Part Dieu,45.760596,4.859409,10800,1,Lausanne,46.51679,6.62909,37552,48352,Lyon,Lausanne
Le Locle,2023-01-06 06:18:00,2023-01-06 11:06:00,Lyon Part Dieu,45.760596,4.859409,17280,2,Le Locle Col des Roches,47.049887,6.7258,36352,53632,Lyon,Le Locle Col des Roches
Willstätt,2023-01-06 08:34:00,2023-01-06 13:11:00,Lyon Part Dieu,45.760596,4.859409,16620,1,Legelshurst,48.5585,7.9138,44512,61132,Lyon,Legelshurst
Bellevue,2023-01-05 20:38:00,2023-01-05 23:07:00,Lyon Part Dieu,45.760596,4.859409,8940,1,Les Tuileries,46.249945,6.147342,1552,10492,Lyon,Les Tuileries
Liège,2023-01-06 05:50:00,2023-01-06 12:09:00,Lyon Part Dieu,45.760596,4.859409,22740,1,Liege-Guil,50.622,5.568,34672,57412,Lyon,Liege-Guil
Camden Town,2023-01-06 05:50:00,2023-01-06 12:00:00,Lyon Part Dieu,45.760596,4.859409,22200,1,Londres Saint Pancras,51.5338,-0.12807,34672,56872,Lyon,Londres Saint Pancras
Luxembourg,2023-01-06 08:34:00,2023-01-06 14:15:00,Lyon Part Dieu,45.760596,4.859409,20460,0,Luxembourg,49.599722,6.134722,44512,64972,Lyon,Luxembourg
Mannheim,2023-01-06 10:04:00,2023-01-06 15:18:00,Lyon Part Dieu,45.760596,4.859409,18840,0,Mannheim Hbf,49.4794,8.4696,49912,68752,Lyon,Mannheim Hbf
Martigny,2023-01-06 12:38:00,2023-01-06 18:03:00,Lyon Part Dieu,45.760596,4.859409,19500,1,Martigny,46.10583,7.07911,59152,78652,Lyon,Martigny
Wörth am Rhein,2023-01-06 10:04:00,2023-01-06 16:59:00,Lyon Part Dieu,45.760596,4.859409,24900,2,Woerth (Rhein),49.0457,8.273199999999999,49912,74812,Lyon,Woerth (Rhein)
Meyrin,2023-01-06 09:38:00,2023-01-06 12:09:00,Lyon Part Dieu,45.760596,4.859409,9060,1,Meyrin,46.22235,6.0769,48352,57412,Lyon,Meyrin
Mies,2023-01-05 20:38:00,2023-01-05 23:21:00,Lyon Part Dieu,45.760596,4.859409,9780,1,Mies,46.299879,6.169566,1552,11332,Lyon,Mies
Milano,2023-01-06 08:08:00,2023-01-06 13:49:00,Lyon Part Dieu,45.760596,4.859409,20460,2,MILANO PORTA GARIBALDI,45.484916,9.187694,42952,63412,Lyon,MILANO PORTA GARIBALDI
Monaco,2023-01-06 06:28:00,2023-01-06 11:49:30,Lyon Part Dieu,45.760596,4.859409,19290,1,Monaco-Monte-Carlo,43.738414,7.419747,36952,56242,Lyon,Monaco-Monte-Carlo
Montreux,2023-01-06 06:38:00,2023-01-06 10:31:00,Lyon Part Dieu,45.760596,4.859409,13980,1,Montreux,46.43588,6.91043,37552,51532,Lyon,Montreux
Morges,2023-01-06 06:38:00,2023-01-06 09:24:00,Lyon Part Dieu,45.760596,4.859409,9960,1,Morges,46.5111,6.49396,37552,47512,Lyon,Morges
Mouscron,2023-01-06 09:03:30,2023-01-06 13:29:00,Lyon Perrache,45.748508,4.825777,15930,1,Mouscron,50.738,3.225,46282,62212,Lyon,Mouscron
Moutier,2023-01-06 08:34:00,2023-01-06 12:21:00,Lyon Part Dieu,45.760596,4.859409,13620,1,Moutier,47.28067,7.38105,44512,58132,Lyon,Moutier
Müllheim,2023-01-06 08:34:00,2023-01-06 12:55:00,Lyon Part Dieu,45.760596,4.859409,15660,1,Muellheim (Baden),47.81,7.5996,44512,60172,Lyon,Muellheim (Baden)
Neuburg am Rhein,2023-01-06 10:04:00,2023-01-06 16:42:00,Lyon Part Dieu,45.760596,4.859409,23880,2,Neuburg (Rhein),48.9921,8.238099999999999,49912,73792,Lyon,Neuburg (Rhein)
Neuchâtel,2023-01-06 07:17:00,2023-01-06 11:53:00,Lyon Part Dieu,45.760596,4.859409,16560,2,Neuchatel,46.99673,6.93571,39892,56452,Lyon,Neuchatel
Neustadt an der Weinstra_e,2023-01-06 08:34:00,2023-01-06 15:20:00,Lyon Part Dieu,45.760596,4.859409,24360,2,Neustadt (Weinstraße) Süd,49.341274,8.157026999999999,44512,68872,Lyon,Neustadt (Weinstra_e) Süd
Nyon,2023-01-06 06:38:00,2023-01-06 09:05:00,Lyon Part Dieu,45.760596,4.859409,8820,1,Nyon,46.38442,6.23596,37552,46372,Lyon,Nyon
Offenburg,2023-01-06 08:34:00,2023-01-06 13:22:00,Lyon Part Dieu,45.760596,4.859409,17280,1,Offenburg,48.4765,7.9468,44512,61792,Lyon,Offenburg
Oulx,2023-01-06 08:08:00,2023-01-06 11:23:00,Lyon Part Dieu,45.760596,4.859409,11700,2,OULX CESANA CLAVIERE SESTRIERE,45.038795,6.831431,42952,54652,Lyon,OULX CESANA CLAVIERE SESTRIERE
Perl,2023-01-06 08:34:00,2023-01-06 17:15:00,Lyon Part Dieu,45.760596,4.859409,31260,1,Perl Gare Routière,49.473147,6.369671,44512,75772,Lyon,Perl Gare Routière
Pétange,2023-01-06 08:34:00,2023-01-06 16:24:00,Lyon Part Dieu,45.760596,4.859409,28200,1,Petange,49.55419,5.8786,44512,72712,Lyon,Petange
