,h_depart,h_arrive,station_orig,station_orig_lat,station_orig_lon,duration,nb_transfers,station_dest,station_dest_lat,station_dest_lon,waiting_time,total_time,depart,arrival
Nîmes,2023-01-26 11:06:00,2023-01-26 12:24:00,Lyon Part Dieu,45.760596,4.859409,4680,0,Nîmes Centre,43.832313,4.365872,2077,4680,Lyon,Nîmes
Avignon,2023-01-26 10:36:00,2023-01-26 11:52:00,Lyon Part Dieu,45.760596,4.859409,4560,0,Avignon TGV,43.92194,4.786136,277,4560,Lyon,Avignon
Toulon,2023-01-26 10:36:00,2023-01-26 13:12:00,Lyon Part Dieu,45.760596,4.859409,9360,1,Toulon,43.128353,5.929404,277,9360,Lyon,Toulon
Bourg-en-Bresse,2023-01-26 11:12:00,2023-01-26 12:12:30,Lyon Part Dieu,45.760596,4.859409,3630,0,Bourg-en-Bresse,46.200111,5.215011,2437,3630,Lyon,Bourg-en-Bresse
Chalon-sur-Saône,2023-01-26 11:18:00,2023-01-26 12:37:00,Lyon Part Dieu,45.760596,4.859409,4740,0,Chalon-sur-Saône,46.781622,4.843479,2797,4740,Lyon,Chalon-sur-Saône
Besançon,2023-01-26 16:30:00,2023-01-26 19:09:00,Lyon Part Dieu,45.760596,4.859409,9540,0,Besançon-Viotte,47.247049,6.021943,21517,9540,Lyon,Besançon
Dijon,2023-01-26 11:18:00,2023-01-26 13:19:00,Lyon Part Dieu,45.760596,4.859409,7260,0,Dijon Ville,47.323411,5.027256,2797,7260,Lyon,Dijon
Paris,2023-01-26 11:04:00,2023-01-26 13:04:00,Lyon Part Dieu,45.760596,4.859409,7200,0,Paris - Gare de Lyon - Hall 1 & 2,48.844945,2.373481,1957,7200,Lyon,Paris
Tarbes,2023-01-26 11:06:00,2023-01-26 17:46:00,Lyon Part Dieu,45.760596,4.859409,24000,3,Tarbes,43.239863,0.069442,2077,24000,Lyon,Tarbes
Cahors,2023-01-26 12:10:00,2023-01-26 17:43:30,Lyon Part Dieu,45.760596,4.859409,20010,1,Cahors,44.449275,1.433325,5917,20010,Lyon,Cahors
Muret,2023-01-26 11:06:00,2023-01-26 15:46:00,Lyon Part Dieu,45.760596,4.859409,16800,2,Muret,43.464824,1.324449,2077,16800,Lyon,Muret
Angoulême,2023-01-26 13:56:00,2023-01-26 19:22:00,Lyon Part Dieu,45.760596,4.859409,19560,1,Angoulême,45.653572,0.164608,12277,19560,Lyon,Angoulême
Angers,2023-01-26 11:46:00,2023-01-26 16:00:30,Lyon Part Dieu,45.760596,4.859409,15270,1,Angers Maître École,47.466953,-0.532437,4477,15270,Lyon,Angers
Saint-Nazaire,2023-01-26 11:46:00,2023-01-26 17:46:00,Lyon Part Dieu,45.760596,4.859409,21600,2,Saint-Nazaire,47.286489,-2.211079,4477,21600,Lyon,Saint-Nazaire
Quimper,2023-01-26 11:46:00,2023-01-26 18:40:00,Lyon Part Dieu,45.760596,4.859409,24840,1,Quimper,47.994455,-4.092103,4477,24840,Lyon,Quimper
